131072       .0095563334 .0000000137 .0001170469 .0000675770 17.139328 17.209894 0.070566 0.410033        .0092160000 .0000002827 .0005316954 .0003069744 17.139343 17.209894 0.070551 0.409944        .0089086666 .0000000316 .0001777638 .0001026319 17.139389 17.209894 0.070505 0.409678        .0093183334 .0000000314 .0001772004 .0001023066 17.139359 17.209894 0.070536 0.409855        .0098990000 .0000000663 .0002574878 .0001486606 17.139374 17.209894 0.070520 0.409767         
262144       .0120850000 .0000031487 .0017744576 .0010244835 -214.776871 -214.922140 0.145270 0.067592        .0093526666 .0000000140 .0001183215 .0000683129 -214.776840 -214.922140 0.145300 0.067606        .0108553334 .0000070819 .0026611839 .0015364352 -214.776840 -214.922140 0.145300 0.067606        .0108883333 .0000078887 .0028086829 .0016215938 -214.776871 -214.922140 0.145270 0.067592        .0097943334 .0000000144 .0001200000 .0000692820 -214.776871 -214.922140 0.145270 0.067592         
393216       .0124586667 .0000001499 .0003871692 .0002235322 -482.455627 -482.755089 0.299462 0.062032        .0110933334 .0000056028 .0023670234 .0013666015 -482.455566 -482.755089 0.299523 0.062044        .0094546667 .0000000140 .0001183215 .0000683129 -482.455597 -482.755089 0.299492 0.062038        .0102413334 .0000002852 .0005340411 .0003083287 -482.455505 -482.755089 0.299584 0.062057        .0105470000 .0000015422 .0012418534 .0007169843 -482.455566 -482.755089 0.299523 0.062044         
524288       .0137220000 0 0 0 -1227.789307 -1228.051287 0.261980 0.021333        .0102730000 .0000000562 .0002370653 .0001368697 -1227.789062 -1228.051287 0.262224 0.021353        .0097280000 0 0 0 -1227.789185 -1228.051287 0.262102 0.021343        .0109906667 .0000040414 .0020103233 .0011606606 -1227.789062 -1228.051287 0.262224 0.021353        .0100023334 .0000000138 .0001174734 .0000678232 -1227.789062 -1228.051287 0.262224 0.021353         
655360       .0152236667 .0000000873 .0002954657 .0001705872 -884.070862 -884.379713 0.308852 0.034923        .0104790000 .0000000034 .0000583095 .0000336650 -884.069885 -884.379713 0.309828 0.035033        .0099670000 .0000000034 .0000583095 .0000336650 -884.070496 -884.379713 0.309218 0.034964        .0099670000 .0000000034 .0000583095 .0000336650 -884.070190 -884.379713 0.309523 0.034999        .0104790000 .0000004648 .0006817624 .0003936157 -884.070312 -884.379713 0.309401 0.034985         
786432       .0163500000 .0000000034 .0000583095 .0000336650 -1210.334351 -1210.802908 0.468558 0.038698        .0109566666 .0000000734 .0002709243 .0001564182 -1210.333374 -1210.802908 0.469534 0.038779        .0102743334 .0000000244 .0001562049 .0000901849 -1210.333862 -1210.802908 0.469046 0.038738        .0103093333 .0000000138 .0001174734 .0000678232 -1210.333130 -1210.802908 0.469778 0.038799        .0110933333 .0000000557 .0002360084 .0001362595 -1210.333496 -1210.802908 0.469412 0.038769         
917504       .0180563333 .0000000244 .0001562049 .0000901849 -1093.758301 -1094.226161 0.467860 0.042757        .0114686667 .0000000316 .0001777638 .0001026319 -1093.758789 -1094.226161 0.467372 0.042713        .0106836666 .0000001082 .0003289376 .0001899122 -1093.758057 -1094.226161 0.468104 0.042779        .0105130000 .0000000034 .0000583095 .0000336650 -1093.759155 -1094.226161 0.467005 0.042679        .0111956667 .0000000244 .0001562049 .0000901849 -1093.758301 -1094.226161 0.467860 0.042757         
1048576       .0192173333 .0000000140 .0001183215 .0000683129 -1028.531006 -1029.068143 0.537137 0.052196        .0116740000 0 0 0 -1028.531128 -1029.068143 0.537015 0.052185        .0111613334 .0000002833 .0005322593 .0003073000 -1028.531250 -1029.068143 0.536893 0.052173        .0109910000 .0000000454 .0002130727 .0001230175 -1028.530273 -1029.068143 0.537869 0.052268        .0112993333 .0000000243 .0001558845 .0000899999 -1028.531006 -1029.068143 0.537137 0.052196         
1179648       .0206506667 .0000000873 .0002954657 .0001705872 -1136.864258 -1137.447226 0.582968 0.051252        .0122196666 .0000000453 .0002128379 .0001228820 -1136.865479 -1137.447226 0.581747 0.051145        .0112290000 .0000000033 .0000574456 .0000331662 -1136.865234 -1137.447226 0.581991 0.051166        .0111276667 .0000000035 .0000591607 .0000341564 -1136.865479 -1137.447226 0.581747 0.051145        .0115030000 .0000000663 .0002574878 .0001486606 -1136.864990 -1137.447226 0.582236 0.051188         
1310720       .0220140000 .0000000101 .0001004987 .0000580229 -367.303131 -367.879160 0.576029 0.156581        .0124586666 .0000000244 .0001562049 .0000901849 -367.302979 -367.879160 0.576181 0.156622        .0112980000 .0000000138 .0001174734 .0000678232 -367.301849 -367.879160 0.577310 0.156929        .0112300000 .0000000034 .0000583095 .0000336650 -367.303192 -367.879160 0.575968 0.156564        .0116396667 .0000001293 .0003595830 .0002076053 -367.302795 -367.879160 0.576364 0.156672         
