131072       .0092840000 .0000000034 .0000583095 .0000336650 65396.238281 65396.164278 0.074003 0.000113        .0085676666 .0000000035 .0000591607 .0000341564 65396.242188 65396.164278 0.077910 0.000119        .0084650000 .0000000034 .0000583095 .0000336650 65396.238281 65396.164278 0.074003 0.000113        .0088403334 .0000000035 .0000591607 .0000341564 65396.242188 65396.164278 0.077910 0.000119        .0091796667 .0000000459 .0002142428 .0001236931 65396.242188 65396.164278 0.077910 0.000119         
262144       .0105813333 .0000001084 .0003292415 .0001900876 130919.195312 130918.591189 0.604123 0.000461        .0089763333 .0000000142 .0001191637 .0000687991 130919.125000 130918.591189 0.533811 0.000408        .0088743334 .0000000140 .0001183215 .0000683129 130919.140625 130918.591189 0.549436 0.000420        .0090113333 .0000000314 .0001772004 .0001023066 130919.125000 130918.591189 0.533811 0.000408        .0093183333 .0000000105 .0001024695 .0000591607 130919.156250 130918.591189 0.565061 0.000432         
393216       .0657060000 .0087583710 .0935861688 .0540319997 196367.187500 196366.747241 0.440259 0.000224        .0093470000 .0000000248 .0001574801 .0000909211 196367.390625 196366.747241 0.643384 0.000328        .0091136666 .0000000105 .0001024695 .0000591607 196367.281250 196366.747241 0.534009 0.000272        .0094583334 .0000000232 .0001523154 .0000879393 196367.343750 196366.747241 0.596509 0.000304        .0093910000 .0000000130 .0001140175 .0000658280 196367.343750 196366.747241 0.596509 0.000304         
524288       .0128713334 .0000000038 .0000616441 .0000355902 261822.843750 261822.168635 0.675115 0.000258        .0097953333 .0000000240 .0001549193 .0000894426 261822.656250 261822.168635 0.487615 0.000186        .0092850000 .0000000032 .0000565685 .0000326598 261822.718750 261822.168635 0.550115 0.000210        .0096556667 .0000000242 .0001555634 .0000898145 261822.765625 261822.168635 0.596990 0.000228        .0096256667 .0000000105 .0001024695 .0000591607 261822.703125 261822.168635 0.534490 0.000204         
655360       .0140630000 .0000000034 .0000583095 .0000336650 327101.000000 327100.356172 0.643828 0.000197        .0102400000 .0000000104 .0001019803 .0000588783 327101.406250 327100.356172 1.050078 0.000321        .0097620000 .0000000138 .0001174734 .0000678232 327101.250000 327100.356172 0.893828 0.000273        .0095903334 .0000000243 .0001558845 .0000899999 327101.437500 327100.356172 1.081328 0.000331        .0097673334 .0000000039 .0000624499 .0000360554 327101.281250 327100.356172 0.925078 0.000283         
786432       .0154963334 .0000000035 .0000591607 .0000341564 392676.468750 392675.819247 0.649503 0.000165        .0105846667 .0000000574 .0002395829 .0001383232 392676.750000 392675.819247 0.930753 0.000237        .0098983333 .0000000140 .0001183215 .0000683129 392676.468750 392675.819247 0.649503 0.000165        .0108203334 .0000021638 .0014709860 .0008492741 392676.531250 392675.819247 0.712003 0.000181        .0105410000 .0000000115 .0001072380 .0000619138 392676.531250 392675.819247 0.712003 0.000181         
917504       .0166570000 .0000000454 .0002130727 .0001230175 458228.843750 458228.046573 0.797177 0.000174        .0108543334 .0000000105 .0001024695 .0000591607 458228.718750 458228.046573 0.672177 0.000147        .0101036666 .0000000035 .0000591607 .0000341564 458228.750000 458228.046573 0.703427 0.000154        .0100386667 .0000000102 .0001009950 .0000583094 458228.812500 458228.046573 0.765927 0.000167        .0107180000 .0000000034 .0000583095 .0000336650 458228.718750 458228.046573 0.672177 0.000147         
1048576       .0178886666 .0000000533 .0002308679 .0001332916 523743.031250 523742.119766 0.911484 0.000174        .0111276666 .0000000035 .0000591607 .0000341564 523742.968750 523742.119766 0.848984 0.000162        .0103100000 .0000000030 .0000547722 .0000316227 523742.750000 523742.119766 0.630234 0.000120        .0103423334 .0000000105 .0001024695 .0000591607 523742.937500 523742.119766 0.817734 0.000156        .0106530000 .0000000095 .0000974679 .0000562731 523742.906250 523742.119766 0.786484 0.000150         
1179648       .0190460000 0 0 0 589242.250000 589241.036988 1.213012 0.000206        .0116396666 .0000000035 .0000591607 .0000341564 589241.875000 589241.036988 0.838012 0.000142        .0106156666 .0000000035 .0000591607 .0000341564 589241.750000 589241.036988 0.713012 0.000121        .0104790000 .0000000034 .0000583095 .0000336650 589241.812500 589241.036988 0.775512 0.000132        .0107820000 .0000000027 .0000519615 .0000299999 589241.750000 589241.036988 0.713012 0.000121         
1310720       .0203476667 .0000000131 .0001144552 .0000660807 654684.812500 654683.503444 1.309056 0.000200        .0119466667 .0000000035 .0000591607 .0000341564 654683.937500 654683.503444 0.434056 0.000066        .0108543334 .0000000314 .0001772004 .0001023066 654683.937500 654683.503444 0.434056 0.000066        .0108886667 .0000001082 .0003289376 .0001899122 654684.000000 654683.503444 0.496556 0.000076        .0108170000 .0000000946 .0003075711 .0001775762 654684.125000 654683.503444 0.621556 0.000095         
