131072       .0101720000 .0000000034 .0000583095 .0000336650 17.524231 17.209894 0.314337 1.826489        .0114230000 .0000000238 .0001542724 .0000890692 17.250000 17.209894 0.040106 0.233039        .0117876666 .0000000088 .0000938083 .0000541602 17.209869 17.209894 0.000025 0.000144        .0188416667 .0000000105 .0001024695 .0000591607 17.493408 17.209894 0.283514 1.647390         
262144       .0110580000 .0000020073 .0014167921 .0008179853 -214.490875 -214.922140 0.431265 0.200661        .0114666666 .0000000552 .0002349468 .0001356465 -215.375000 -214.922140 0.452860 0.210709        .0121303333 .0000002422 .0004921381 .0002841360 -214.922119 -214.922140 0.000021 0.000010        .0296970000 .0000000730 .0002701851 .0001559914 -214.686523 -214.922140 0.235617 0.109629         
393216       .0102740000 .0000000034 .0000583095 .0000336650 -482.291382 -482.755089 0.463707 0.096054        .0123060000 .0000000887 .0002978254 .0001719495 -482.500000 -482.755089 0.255089 0.052840        .0128180000 .0000000655 .0002559296 .0001477610 -482.755066 -482.755089 0.000023 0.000005        .0410963334 .0000010730 .0010358571 .0005980523 -482.343262 -482.755089 0.411827 0.085308         
524288       .0106153333 .0000000980 .0003130495 .0001807392 -1227.271606 -1228.051287 0.779681 0.063489        .0120620000 .0000000406 .0002014944 .0001163328 -1228.000000 -1228.051287 0.051287 0.004176        .0131800000 .0000012110 .0011004544 .0006353476 -1228.051270 -1228.051287 0.000017 0.000001        .0515400000 .0000000975 .0003122498 .0001802775 -1227.806152 -1228.051287 0.245135 0.019961         
655360       .0113323333 .0000016181 .0012720455 .0007344158 -883.478394 -884.379713 0.901320 0.101915        .0126696666 .0000002269 .0004763402 .0002750151 -884.500000 -884.379713 0.120287 0.013601        .0126526666 .0000000102 .0001009950 .0000583094 -884.379639 -884.379713 0.000075 0.000008        .0617470000 .0000000420 .0002049390 .0001183215 -884.050049 -884.379713 0.329665 0.037276         
786432       .0109566666 .0000000105 .0001024695 .0000591607 -1209.703613 -1210.802908 1.099295 0.090791        .0127413334 .0000001720 .0004147288 .0002394437 -1210.000000 -1210.802908 0.802908 0.066312        .0133813333 .0000000147 .0001212435 .0000699999 -1210.802856 -1210.802908 0.000052 0.000004        .0729770000 .0000002548 .0005047771 .0002914331 -1210.510010 -1210.802908 0.292898 0.024190         
917504       .0110593333 .0000000105 .0001024695 .0000591607 -1093.488525 -1094.226161 0.737635 0.067412        .0130516667 .0000000235 .0001532970 .0000885060 -1094.000000 -1094.226161 0.226161 0.020669        .0136136667 .0000000017 .0000412310 .0000238047 -1094.226074 -1094.226161 0.000086 0.000008        .0842060000 .0000024598 .0015683749 .0009055016 -1094.480225 -1094.226161 0.254064 0.023219         
1048576       .0112990000 .0000000134 .0001157583 .0000668330 -1028.191284 -1029.068143 0.876859 0.085209        .0132663334 .0000001152 .0003394112 .0001959591 -1028.000000 -1029.068143 1.068143 0.103797        .0144290000 .0000000346 .0001860107 .0001073933 -1029.067993 -1029.068143 0.000150 0.000015        .0941056667 .0000001676 .0004093897 .0002363612 -1029.814209 -1029.068143 0.746066 0.072499         
1179648       .0117760000 .0000001260 .0003549647 .0002049389 -1135.851929 -1137.447226 1.595297 0.140252        .0136490000 .0000000928 .0003046309 .0001758787 -1136.000000 -1137.447226 1.447226 0.127235        .0143393333 .0000000222 .0001489966 .0000860232 -1137.447021 -1137.447226 0.000204 0.000018        .1048596667 .0000002179 .0004667976 .0002695057 -1138.458740 -1137.447226 1.011514 0.088928         
1310720       .0116393334 .0000000140 .0001183215 .0000683129 -366.044556 -367.879160 1.834604 0.498697        .0140286667 .0000002002 .0004474371 .0002583279 -366.500000 -367.879160 1.379160 0.374895        .0198753333 .0000001698 .0004120679 .0002379075 -367.878967 -367.879160 0.000192 0.000052        .1157120000 .0000000733 .0002707397 .0001563116 -369.165283 -367.879160 1.286124 0.349605         
