8192       .0150550000 .0000000112 .0001058300 .0000611009 4080.000000 4080.483877 0.483877 0.011858        .0161073333 .0000007096 .0008423775 .0004863468 4080.000000 4080.483877 0.483877 0.011858        .0155306666 .0000001815 .0004260281 .0002459674 4080.000000 4080.483877 0.483877 0.011858        .0167286667 .0000001514 .0003891015 .0002246478 4080.000000 4080.483877 0.483877 0.011858        .0171703333 .0000000448 .0002116601 .0001222020 4080.000000 4080.483877 0.483877 0.011858         
16384       .0150870000 .0000000245 .0001565247 .0000903695 4080.000000 8142.814493 4062.814493 49.894474        .0189780000 .0000362203 .0060183303 .0034746846 8140.000000 8142.814493 2.814493 0.034564        .0158376666 .0000005487 .0007407428 .0004276680 8140.000000 8142.814493 2.814493 0.034564        .0162123334 .0000000036 .0000600000 .0000346410 8140.000000 8142.814493 2.814493 0.034564        .0170016667 .0000000089 .0000943398 .0000544671 8140.000000 8142.814493 2.814493 0.034564         
24576       .0155306667 .0000000455 .0002133072 .0001231529 4080.000000 12231.636055 8151.636055 66.643873        .0150866666 .0000000140 .0001183215 .0000683129 12224.000000 12231.636055 7.636055 0.062429        .0155283334 .0000001707 .0004131585 .0002385371 12224.000000 12231.636055 7.636055 0.062429        .0164490000 .0000002186 .0004675467 .0002699382 12224.000000 12231.636055 7.636055 0.062429        .0175113334 .0000009579 .0009787236 .0005650663 12224.000000 12231.636055 7.636055 0.062429         
32768       .0153920000 .0000000030 .0000547722 .0000316227 4080.000000 16353.375178 12273.375178 75.051022        .0149813334 .0000000038 .0000616441 .0000355902 16352.000000 16353.375178 1.375178 0.008409        .0155690000 .0000002790 .0005282045 .0003049590 16352.000000 16353.375178 1.375178 0.008409        .0173760000 .0000008690 .0009322016 .0005382068 16352.000000 16353.375178 1.375178 0.008409        .0175146667 .0000005077 .0007125307 .0004113797 16352.000000 16353.375178 1.375178 0.008409         
40960       .0156993333 .0000000135 .0001161895 .0000670820 4080.000000 20467.253100 16387.253100 80.065718        .0150230000 .0000000222 .0001489966 .0000860232 16352.000000 20467.253100 4115.253100 20.106524        .0156330000 .0000001504 .0003878143 .0002239046 20464.000000 20467.253100 3.253100 0.015894        .0165206666 .0000000453 .0002128379 .0001228820 20464.000000 20467.253100 3.253100 0.015894        .0171703333 .0000000138 .0001174734 .0000678232 20464.000000 20467.253100 3.253100 0.015894         
49152       .0159020000 .0000000253 .0001590597 .0000918331 4080.000000 24581.075736 20501.075736 83.401866        .0154283334 .0000006954 .0008339064 .0004814560 16352.000000 24581.075736 8229.075736 33.477281        .0154280000 .0000000034 .0000583095 .0000336650 24576.000000 24581.075736 5.075736 0.020649        .0163126667 .0000000028 .0000529150 .0000305504 24576.000000 24581.075736 5.075736 0.020649        .0172003334 .0000000105 .0001024695 .0000591607 24576.000000 24581.075736 5.075736 0.020649         
57344       .0161096667 .0000000239 .0001545962 .0000892561 4080.000000 28674.732720 24594.732720 85.771445        .0153260000 .0000002235 .0004727578 .0002729468 16352.000000 28674.732720 12322.732720 42.974185        .0154303334 .0000000225 .0001500000 .0000866025 28672.000000 28674.732720 2.732720 0.009530        .0165203334 .0000000035 .0000591607 .0000341564 28672.000000 28674.732720 2.732720 0.009530        .0780970000 .0104464121 .1022076910 .0590096379 28672.000000 28674.732720 2.732720 0.009530         
65536       .0240983333 .0000010202 .0010100495 .0005831523 32800.000000 32808.756488 8.756488 0.026689        .0200406667 .0000014011 .0011836807 .0006833983 32800.000000 32808.756488 8.756488 0.026689        .0195926667 .0000000560 .0002366431 .0001366259 32800.000000 32808.756488 8.756488 0.026689        .0212990000 .0000002621 .0005119570 .0002955785 32800.000000 32808.756488 8.756488 0.026689        .0260450000 .0000252840 .0050283197 .0029031017 32800.000000 32808.756488 8.756488 0.026689         
73728       .0218816666 .0000000034 .0000583095 .0000336650 32800.000000 36912.928566 4112.928566 11.142244        .0190463334 .0000000105 .0001024695 .0000591607 32800.000000 36912.928566 4112.928566 11.142244        .0192876667 .0000000138 .0001174734 .0000678232 32800.000000 36912.928566 4112.928566 11.142244        .0208553334 .0000000140 .0001183215 .0000683129 36896.000000 36912.928566 16.928566 0.045861        .0232446666 .0000000105 .0001024695 .0000591607 36896.000000 36912.928566 16.928566 0.045861         
81920       .0225620000 .0000000663 .0002574878 .0001486606 32800.000000 41022.680800 8222.680800 20.044231        .0192893334 .0000001787 .0004227292 .0002440628 32800.000000 41022.680800 8222.680800 20.044231        .0193886667 .0000000556 .0002357965 .0001361371 32800.000000 41022.680800 8222.680800 20.044231        .0209910000 .0000001266 .0003558089 .0002054263 41024.000000 41022.680800 1.319200 0.003216        .0231420000 0 0 0 41024.000000 41022.680800 1.319200 0.003216         
