131072       .0091776667 .0000000010 .0000316227 .0000182573 17.524231 17.209894 0.314337 1.826489        .0106763334 .0000000211 .0001452583 .0000838649 17.250000 17.209894 0.040106 0.233039        .0107943333 .0000001564 .0003954743 .0002283271 17.209869 17.209894 0.000025 0.000144        .0168636666 .0000000135 .0001161895 .0000670820 17.493408 17.209894 0.283514 1.647390         
262144       .0092523333 .0000000239 .0001545962 .0000892561 -214.490875 -214.922140 0.431265 0.200661        .0106943334 .0000000009 .0000300000 .0000173205 -215.375000 -214.922140 0.452860 0.210709        .0108983334 .0000001495 .0003866522 .0002232337 -214.922119 -214.922140 0.000021 0.000010        .0264160000 .0000000011 .0000331662 .0000191485 -214.686523 -214.922140 0.235617 0.109629         
393216       .0094110000 .0000000386 .0001964688 .0001134313 -482.291382 -482.755089 0.463707 0.096054        .0111140000 .0000000386 .0001964688 .0001134313 -482.500000 -482.755089 0.255089 0.052840        .0114133333 .0000000022 .0000469041 .0000270800 -482.755066 -482.755089 0.000023 0.000005        .0359296667 .0000000078 .0000883176 .0000509901 -482.343262 -482.755089 0.411827 0.085308         
524288       .0095736666 .0000000447 .0002114237 .0001220655 -1227.271606 -1228.051287 0.779681 0.063489        .0114036667 .0000000489 .0002211334 .0001276714 -1228.000000 -1228.051287 0.051287 0.004176        .0116483333 .0000000410 .0002024845 .0001169044 -1228.051270 -1228.051287 0.000017 0.000001        .0455840000 .0000000108 .0001039230 .0000599999 -1227.806152 -1228.051287 0.245135 0.019961         
655360       .0100663333 .0000006610 .0008130190 .0004693967 -883.478394 -884.379713 0.901320 0.101915        .0123083334 .0000000797 .0002823118 .0001629927 -884.500000 -884.379713 0.120287 0.013601        .0123913333 .0000000096 .0000979795 .0000565684 -884.379639 -884.379713 0.000075 0.000008        .0550550000 .0000000092 .0000959166 .0000553774 -884.050049 -884.379713 0.329665 0.037276         
786432       .0098103333 .0000000002 .0000141421 .0000081649 -1209.703491 -1210.802908 1.099417 0.090801        .0124906667 .0000000078 .0000883176 .0000509901 -1210.000000 -1210.802908 0.802908 0.066312        .0125376667 .0000000136 .0001166190 .0000673300 -1210.802856 -1210.802908 0.000052 0.000004        .0645086667 .0000000056 .0000748331 .0000432049 -1210.510010 -1210.802908 0.292898 0.024190         
917504       .0099903333 .0000000106 .0001029563 .0000594418 -1093.488892 -1094.226161 0.737269 0.067378        .0128373333 .0000000108 .0001039230 .0000599999 -1094.000000 -1094.226161 0.226161 0.020669        .0161100000 .0000163554 .0040441810 .0023349089 -1094.226074 -1094.226161 0.000086 0.000008        .0743603334 .0000000265 .0001627882 .0000939858 -1094.480225 -1094.226161 0.254064 0.023219         
1048576       .0103860000 .0000000571 .0002389560 .0001379613 -1028.191162 -1029.068143 0.876981 0.085221        .0128480000 .0000000113 .0001063014 .0000613731 -1028.000000 -1029.068143 1.068143 0.103797        .0130806666 .0000001117 .0003342154 .0001929593 -1029.067993 -1029.068143 0.000150 0.000015        .0837246667 .0000000257 .0001603121 .0000925562 -1029.814209 -1029.068143 0.746066 0.072499         
1179648       .0105463334 .0000000137 .0001170469 .0000675770 -1135.852173 -1137.447226 1.595053 0.140231        .0134006667 .0000000625 .0002500000 .0001443375 -1136.000000 -1137.447226 1.447226 0.127235        .0133803334 .0000000041 .0000640312 .0000369684 -1137.447021 -1137.447226 0.000204 0.000018        .0931370000 .0000000535 .0002313006 .0001335414 -1138.458740 -1137.447226 1.011514 0.088928         
1310720       .0107593333 .0000000127 .0001126942 .0000650640 -366.044617 -367.879160 1.834543 0.498681        .0139680000 .0000000097 .0000984885 .0000568623 -366.500000 -367.879160 1.379160 0.374895        .0144213334 .0000002684 .0005180733 .0002991097 -367.878967 -367.879160 0.000192 0.000052        .1026306667 .0000000034 .0000583095 .0000336650 -369.165283 -367.879160 1.286124 0.349605         
