8192       .0121050000 0 0 0 -27.234375 -27.224982 0.009393 0.034500        .0123836666 .0000000163 .0001276714 .0000737111 -17.281250 -27.224982 9.943732 36.524293        .0131323334 .0000001051 .0003241913 .0001871719 437.500000 -27.224982 464.724982 1706.979917        .0132956667 .0000000358 .0001892088 .0001092397 435.500000 -27.224982 462.724982 1699.633723        .0156580000 .0000000043 .0000655743 .0000378593 5580.000000 -27.224982 5607.224982 20595.881003         
16384       .0123053334 .0000000347 .0001862793 .0001075484 -27.234375 -105.854889 78.620514 74.271972        .0121203333 .0000000008 .0000282842 .0000163298 -99.312500 -105.854889 6.542389 6.180526        .0133530000 .0000001158 .0003402939 .0001964687 355.500000 -105.854889 461.354889 435.837110        .0139813334 .0000022549 .0015016324 .0008669678 353.500000 -105.854889 459.354889 433.947731        .0156643334 .0000000041 .0000640312 .0000369684 5496.000000 -105.854889 5601.854889 5292.013379         
24576       .0126040000 .0000000010 .0000316227 .0000182573 -27.234375 -144.951656 117.717281 81.211408        .0122386667 .0000000946 .0003075711 .0001775762 -141.375000 -144.951656 3.576656 2.467482        .0133910000 .0000001653 .0004065710 .0002347338 313.250000 -144.951656 458.201656 316.106534        .0133946666 .0000000032 .0000565685 .0000326598 311.500000 -144.951656 456.451656 314.899235        .0157153334 .0000000016 .0000400000 .0000230940 5456.000000 -144.951656 5600.951656 3864.013574         
32768       .0127266667 .0000000841 .0002900000 .0001674315 -27.234375 -99.856432 72.622057 72.726469        .0120653334 .0000000039 .0000624499 .0000360554 -99.875000 -99.856432 0.018568 0.018595        .0133820000 .0000000330 .0001816590 .0001048808 354.750000 -99.856432 454.606432 455.260041        .0133383333 .0000000043 .0000655743 .0000378593 353.000000 -99.856432 452.856432 453.507525        .0157283334 .0000000003 .0000173205 .0000099999 5496.000000 -99.856432 5595.856432 5603.901868         
40960       .0127460000 .0000000219 .0001479864 .0000854399 -27.234375 -2.768657 24.465718 883.667319        .0121913334 .0000000004 .0000200000 .0000115470 -99.875000 -2.768657 97.106343 3507.344521        .0131826667 .0000000071 .0000842614 .0000486483 3.978516 -2.768657 6.747173 243.698388        .0141163334 .0000017481 .0013221573 .0007633478 2.011719 -2.768657 4.780376 172.660452        .0168723334 .0000035929 .0018954946 .0010943643 5148.000000 -2.768657 5150.768657 186038.519084         
49152       .0132583333 .0000000825 .0002872281 .0001658312 -27.234375 15.484040 42.718415 275.886747        .0122676667 .0000000114 .0001067707 .0000616440 -99.875000 15.484040 115.359040 745.018983        .0152820000 .0000036700 .0019157244 .0011060439 18.703125 15.484040 3.219085 20.789694        .0134290000 .0000000083 .0000911043 .0000525990 16.734375 15.484040 1.250335 8.074989        .0158466667 .0000000034 .0000583095 .0000336650 5160.000000 15.484040 5144.515960 33224.635329         
57344       .0134786667 .0000001210 .0003478505 .0002008315 -27.234375 25.346160 52.580535 207.449710        .0122776667 .0000000098 .0000989949 .0000571547 -99.875000 25.346160 125.221160 494.043917        .0145893334 .0000048794 .0022089363 .0012753299 28.828125 25.346160 3.481965 13.737645        .0134300000 .0000000023 .0000479583 .0000276887 26.859375 25.346160 1.513215 5.970196        .0165106667 .0000013424 .0011586198 .0006689294 5172.000000 25.346160 5146.653840 20305.458199         
65536       .0193306667 .0000039795 .0019948684 .0011517378 168.750000 168.795481 0.045481 0.026945        .0161830000 .0000000026 .0000509901 .0000294391 168.750000 168.795481 0.045481 0.026945        .0172330000 .0000000113 .0001063014 .0000613731 168.750000 168.795481 0.045481 0.026945        .0182280000 .0000000092 .0000959166 .0000553774 168.750000 168.795481 0.045481 0.026945        .0229693334 .0000001388 .0003725587 .0002150968 168.750000 168.795481 0.045481 0.026945         
73728       .0189546667 .0000000144 .0001200000 .0000692820 168.750000 199.728352 30.978352 15.510242        .0161930000 .0000000247 .0001571623 .0000907376 2790.000000 199.728352 2590.271648 1296.897324        .0174226666 .0000000350 .0001870828 .0001080123 2790.000000 199.728352 2590.271648 1296.897324        .0190580000 .0000012034 .0010969958 .0006333508 121.187500 199.728352 78.540852 39.323837        .0240833333 .0000045969 .0021440382 .0012378610 121.187500 199.728352 78.540852 39.323837         
81920       .0196723333 .0000000598 .0002445403 .0001411854 168.750000 118.450070 50.299930 42.465091        .0174406667 .0000000007 .0000264575 .0000152752 2790.000000 118.450070 2671.549930 2255.422833        .0180446666 .0000000319 .0001786057 .0001031180 2790.000000 118.450070 2671.549930 2255.422833        .0183943333 .0000000004 .0000200000 .0000115470 39.875000 118.450070 78.575070 66.336027        .0228633334 .0000000118 .0001086278 .0000627162 39.875000 118.450070 78.575070 66.336027         
90112       .0204356667 .0000000833 .0002886173 .0001666332 168.750000 39.338295 129.411705 328.971308        .0175593334 .0000000290 .0001702938 .0000983191 2790.000000 39.338295 2750.661705 6992.325618        .0181046667 .0000000124 .0001113552 .0000642909 2790.000000 39.338295 2750.661705 6992.325618        .0183370000 .0000000102 .0001009950 .0000583094 -39.312500 39.338295 78.650795 199.934427        .0230110000 .0000000184 .0001356465 .0000783155 -39.312500 39.338295 78.650795 199.934427         
98304       .0212500000 .0000001444 .0003800000 .0002193931 168.750000 94.477357 74.272643 78.614225        .0177500000 .0000000151 .0001228820 .0000709459 2790.000000 94.477357 2695.522643 2853.088526        .0181430000 .0000000050 .0000707106 .0000408247 2790.000000 94.477357 2695.522643 2853.088526        .0183776667 .0000000063 .0000793725 .0000458257 15.937500 94.477357 78.539857 83.130879        .0230103334 .0000000808 .0002842534 .0001641137 15.937500 94.477357 78.539857 83.130879         
106496       .0219323334 .0000000363 .0001905255 .0001099999 168.750000 -1.233814 169.983814 13777.103123        .0177723334 .0000001144 .0003382306 .0001952775 2790.000000 -1.233814 2791.233814 226228.104967        .0181586667 .0000000376 .0001939071 .0001119523 2790.000000 -1.233814 2791.233814 226228.104967        .0184670000 .0000000163 .0001276714 .0000737111 -80.062500 -1.233814 78.828686 6389.025593        .0230050000 .0000000622 .0002493992 .0001439906 -80.062500 -1.233814 78.828686 6389.025593         
114688       .0229353334 .0000003554 .0005961543 .0003441898 143.375000 -95.546810 238.921810 250.057338        .0180396667 .0000000038 .0000616441 .0000355902 2384.000000 -95.546810 2479.546810 2595.112082        .0181493334 .0000000332 .0001822086 .0001051981 2384.000000 -95.546810 2479.546810 2595.112082        .0184736667 .0000000737 .0002714774 .0001567375 -174.250000 -95.546810 78.703190 82.371342        .0230923334 .0000000824 .0002870540 .0001657307 -174.250000 -95.546810 78.703190 82.371342         
122880       .0233783334 .0000000116 .0001077032 .0000621824 168.750000 -77.445802 246.195802 317.894316        .0183940000 .0000000801 .0002830194 .0001634013 2790.000000 -77.445802 2867.445802 3702.519358        .0182070000 .0000000383 .0001957038 .0001129896 2790.000000 -77.445802 2867.445802 3702.519358        .0191010000 .0000008430 .0009181503 .0005300943 -156.250000 -77.445802 78.804198 101.753996        .0231383334 .0000001035 .0003217141 .0001857417 -156.250000 -77.445802 78.804198 101.753996         
131072       .0247483333 .0000007333 .0008563293 .0004944019 -124.750000 -124.674952 0.075048 0.060195        .0183663334 .0000000188 .0001371130 .0000791622 -203.250000 -124.674952 78.575048 63.023925        .0183706666 .0000000078 .0000883176 .0000509901 -203.250000 -124.674952 78.575048 63.023925        .0184803334 .0000000223 .0001493318 .0000862167 -203.250000 -124.674952 78.575048 63.023925        .0232406667 .0000000845 .0002906888 .0001678292 -203.250000 -124.674952 78.575048 63.023925         
139264       .0247723334 .0000000031 .0000556776 .0000321454 -124.750000 -233.050416 108.300416 46.470810        .0194706667 .0000030491 .0017461672 .0010081501 2456.000000 -233.050416 2689.050416 1153.849224        .0182986667 .0000000226 .0001503329 .0000867947 2456.000000 -233.050416 2689.050416 1153.849224        .0186273334 .0000000927 .0003044667 .0001757839 2456.000000 -233.050416 2689.050416 1153.849224        .0231506667 .0000000185 .0001360147 .0000785281 -350.750000 -233.050416 117.699584 50.503915         
147456       .0257856667 .0000000131 .0001144552 .0000660807 -124.750000 -200.750995 76.000995 37.858340        .0188856667 .0000001225 .0003500000 .0002020725 2456.000000 -200.750995 2656.750995 1323.406143        .0182620000 .0000000124 .0001113552 .0000642909 2456.000000 -200.750995 2656.750995 1323.406143        .0185583334 .0000000218 .0001476482 .0000852447 2456.000000 -200.750995 2656.750995 1323.406143        .0241196666 .0000017817 .0013348033 .0007706490 -318.500000 -200.750995 117.749005 58.654258         
155648       .0271596666 .0000017822 .0013349906 .0007707571 -242.875000 -223.947740 18.927260 8.451641        .0194083334 .0000000012 .0000346410 .0000199999 568.000000 -223.947740 791.947740 353.630601        .0195896667 .0000000657 .0002563201 .0001479864 568.000000 -223.947740 791.947740 353.630601        .0199606667 .0000002470 .0004969909 .0002869378 568.000000 -223.947740 791.947740 353.630601        .0231346667 .0000000963 .0003103224 .0001791647 -341.500000 -223.947740 117.552260 52.490934         
