8192       .0136290000 .0000000017 .0000412310 .0000238047 -18.171875 -18.167544 0.004331 0.023840        .0137450000 .0000000597 .0002443358 .0001410673 -14.421875 -18.167544 3.745669 20.617365        .0157940000 .0000065113 .0025517249 .0014732390 -10.671875 -18.167544 7.495669 41.258570        .0145283334 .0000000257 .0001603121 .0000925562 -3.171875 -18.167544 14.995669 82.540981        .0170300000 .0000000440 .0002097617 .0001211059 11.828125 -18.167544 29.995669 165.105801         
16384       .0139403334 .0000002693 .0005189412 .0002996108 -18.171875 -64.508696 46.336821 71.830348        .0136246666 .0000000014 .0000374165 .0000216024 -62.687500 -64.508696 1.821196 2.823180        .0159126667 .0000045129 .0021243587 .0012264990 -58.937500 -64.508696 5.571196 8.636350        .0145046667 .0000000215 .0001466287 .0000846561 -51.437500 -64.508696 13.071196 20.262689        .0176510000 .0000004777 .0006911584 .0003990404 -36.437500 -64.508696 28.071196 43.515368         
24576       .0138473334 .0000000099 .0000994987 .0000574456 -18.171875 -27.506687 9.334812 33.936519        .0147393334 .0000049652 .0022282728 .0012864939 -25.671875 -27.506687 1.834812 6.670423        .0147906667 .0000001870 .0004324349 .0002496664 -21.921875 -27.506687 5.584812 20.303471        .0147423334 .0000001401 .0003742993 .0002161018 -14.421875 -27.506687 13.084812 47.569568        .0171656667 .0000000900 .0003000000 .0001732050 0.578125 -27.506687 28.084812 102.101762         
32768       .0140460000 .0000000019 .0000435889 .0000251660 -18.171875 -13.345046 4.826829 36.169446        .0143553334 .0000008381 .0009154780 .0005285514 -13.328125 -13.345046 0.016921 0.126795        .0161740000 .0000022223 .0014907380 .0008606779 -9.578125 -13.345046 3.766921 28.227110        .0147710000 .0000000220 .0001483239 .0000856348 -2.078125 -13.345046 11.266921 84.427742        .0195713334 .0000155416 .0039422836 .0022760784 12.921875 -13.345046 26.266921 196.829004         
40960       .0141293334 .0000000006 .0000244948 .0000141420 -18.171875 106.261098 124.432973 117.101155        .0150740000 .0000067186 .0025920262 .0014965070 -13.328125 106.261098 119.589223 112.542807        .0149580000 .0000000596 .0002441311 .0001409491 110.125000 106.261098 3.863902 3.636234        .0156546667 .0000028943 .0017012642 .0009822253 117.625000 106.261098 11.363902 10.694320        .0174046667 .0000003675 .0006062177 .0003499999 132.625000 106.261098 26.363902 24.810492         
49152       .0158976667 .0000042943 .0020722692 .0011964251 -18.171875 122.558847 140.730722 114.827061        .0152843333 .0000074167 .0027233618 .0015723336 -13.328125 122.558847 135.886972 110.874878        .0148033334 .0000001002 .0003165438 .0001827566 124.500000 122.558847 1.941153 1.583854        .0157110000 .0000032755 .0018098342 .0010449082 132.000000 122.558847 9.441153 7.703363        .0172586667 .0000000092 .0000959166 .0000553774 147.000000 122.558847 24.441153 19.942382         
57344       .0154496667 .0000007061 .0008402975 .0004851459 -18.171875 269.433928 287.605803 106.744464        .0142443333 .0000010779 .0010382196 .0005994163 -13.328125 269.433928 282.762053 104.946714        .0171863334 .0000153728 .0039208162 .0022636842 271.500000 269.433928 2.066072 0.766820        .0147486667 .0000000045 .0000670820 .0000387298 279.000000 269.433928 9.566072 3.550433        .0201480000 .0000189442 .0043524935 .0025129132 294.000000 269.433928 24.566072 9.117661         
65536       .0213726667 .0000096936 .0031134546 .0017975538 352.750000 352.652578 0.097422 0.027625        .0177246667 .0000001808 .0004252058 .0002454926 352.750000 352.652578 0.097422 0.027625        .0188703334 .0000002280 .0004774934 .0002756809 352.750000 352.652578 0.097422 0.027625        .0197833334 .0000002879 .0005365631 .0003097848 352.750000 352.652578 0.097422 0.027625        .0242636666 .0000000035 .0000591607 .0000341564 352.750000 352.652578 0.097422 0.027625         
73728       .0221470000 .0000113660 .0033713498 .0019464497 352.750000 324.164449 28.585551 8.818225        .0178570000 .0000001033 .0003214031 .0001855621 5948.000000 324.164449 5623.835551 1734.871166        .0198870000 .0000042197 .0020541908 .0011859876 5948.000000 324.164449 5623.835551 1734.871166        .0196193334 .0000000244 .0001562049 .0000901849 278.000000 324.164449 46.164449 14.241059        .0257226667 .0000074065 .0027214885 .0015712521 278.000000 324.164449 46.164449 14.241059         
81920       .0209623334 .0000000119 .0001090871 .0000629814 352.750000 328.105053 24.644947 7.511297        .0189793334 .0000001888 .0004345112 .0002508651 5948.000000 328.105053 5619.894947 1712.834011        .0196290000 .0000004810 .0006935416 .0004004164 5948.000000 328.105053 5619.894947 1712.834011        .0198646666 .0000000737 .0002714774 .0001567375 281.500000 328.105053 46.605053 14.204308        .0241503334 .0000000252 .0001587450 .0000916514 281.500000 328.105053 46.605053 14.204308         
