131072       .0099816667 .0000018278 .0013519615 .0007805553 17.323242 17.209894 0.113348 0.658621        .0246400000 .0000001755 .0004189272 .0002418677 17.000000 17.209894 0.209894 1.219614        .0080096667 .0000000235 .0001532970 .0000885060 17.139343 17.209894 0.070551 0.409944        .0087040000 .0000000138 .0001174734 .0000678232 17.048599 17.209894 0.161295 0.937222        .0092853333 .0000000119 .0001090871 .0000629814 17.524231 17.209894 0.314337 1.826489         
262144       .0116853334 .0000007747 .0008801704 .0005081666 -214.884277 -214.922140 0.037863 0.017617        .0265260000 .0000066908 .0025866580 .0014934076 -214.625000 -214.922140 0.297140 0.138255        .0097066667 .0000045900 .0021424285 .0012369316 -214.776840 -214.922140 0.145300 0.067606        .0097216666 .0000000055 .0000741619 .0000428173 -215.104309 -214.922140 0.182169 0.084760        .0092300000 .0000000308 .0001754992 .0001013245 -214.490875 -214.922140 0.431265 0.200661         
393216       .0129130000 .0000000390 .0001974841 .0001140174 -482.513672 -482.755089 0.241417 0.050008        .0291820000 .0000000284 .0001685229 .0000972967 -482.000000 -482.755089 0.755089 0.156412        .0105783334 .0000059516 .0024395901 .0014084980 -482.455658 -482.755089 0.299431 0.062025        .0118880000 .0000037736 .0019425756 .0011215465 -482.606812 -482.755089 0.148277 0.030715        .0103976667 .0000047054 .0021691933 .0012523843 -482.291382 -482.755089 0.463707 0.096054         
524288       .0153536666 .0000011446 .0010698598 .0006176838 -1227.976562 -1228.051287 0.074724 0.006085        .0336173333 .0000000111 .0001053565 .0000608276 -1228.000000 -1228.051287 0.051287 0.004176        .0099990000 .0000015387 .0012404434 .0007161703 -1227.789551 -1228.051287 0.261736 0.021313        .0116883333 .0000000117 .0001081665 .0000624499 -1227.900391 -1228.051287 0.150896 0.012287        .0092746666 .0000000322 .0001794435 .0001036017 -1227.271606 -1228.051287 0.779681 0.063489         
655360       .0161930000 .0000000001 .0000100000 .0000057735 -884.301025 -884.379713 0.078688 0.008898        0 0 0 0 0 0 0 0        .0108706666 .0000001010 .0003178049 .0001834847 -884.070312 -884.379713 0.309401 0.034985        .0127680000 .0000000056 .0000748331 .0000432049 -884.305542 -884.379713 0.074171 0.008387        .0093793333 .0000000020 .0000447213 .0000258198 -883.478394 -884.379713 0.901320 0.101915         
786432       .0181290000 .0000000075 .0000866025 .0000499999 -1210.681885 -1210.802908 0.121023 0.009995        0 0 0 0 0 0 0 0        .0109800000 .0000000096 .0000979795 .0000565684 -1210.333252 -1210.802908 0.469656 0.038789        .0139366666 .0000000023 .0000479583 .0000276887 -1210.655518 -1210.802908 0.147391 0.012173        .0096100000 .0000000007 .0000264575 .0000152752 -1209.703491 -1210.802908 1.099417 0.090801         
917504       .0200456667 .0000000002 .0000141421 .0000081649 -1094.633057 -1094.226161 0.406896 0.037186        0 0 0 0 0 0 0 0        .0111350000 .0000000115 .0001072380 .0000619138 -1093.757690 -1094.226161 0.468470 0.042813        .0150440000 .0000000103 .0001014889 .0000585946 -1094.748535 -1094.226161 0.522374 0.047739        .0097853334 .0000000099 .0000994987 .0000574456 -1093.488525 -1094.226161 0.737635 0.067412         
1048576       .0220163334 .0000000090 .0000948683 .0000547722 -1029.948975 -1029.068143 0.880832 0.085595        0 0 0 0 0 0 0 0        .0117600000 .0000000829 .0002879236 .0001662327 -1028.531006 -1029.068143 0.537137 0.052196        .0161173334 .0000000181 .0001345362 .0000776745 -1029.899170 -1029.068143 0.831027 0.080755        .0100653334 .0000000098 .0000989949 .0000571547 -1028.190796 -1029.068143 0.877347 0.085256         
1179648       .0241260000 .0000002803 .0005294336 .0003056686 -1138.470459 -1137.447226 1.023233 0.089959        0 0 0 0 0 0 0 0        .0119946667 .0000000081 .0000900000 .0000519615 -1136.864502 -1137.447226 0.582724 0.051231        .0180116666 .0000007779 .0008819863 .0005092150 -1138.385498 -1137.447226 0.938272 0.082489        .0103553334 .0000000061 .0000781024 .0000450924 -1135.851929 -1137.447226 1.595297 0.140252         
1310720       .0255373334 .0000000006 .0000244948 .0000141420 -369.235596 -367.879160 1.356436 0.368718        0 0 0 0 0 0 0 0        .0131156667 .0000000049 .0000700000 .0000404145 -367.303284 -367.879160 0.575876 0.156539        .0186346666 0 0 0 -369.134521 -367.879160 1.255362 0.341243        .0107006667 .0000000080 .0000894427 .0000516397 -366.044586 -367.879160 1.834573 0.498689         
1441792       .0273866666 .0000000062 .0000787400 .0000454605 -457.202393 -456.072262 1.130131 0.247796        0 0 0 0 0 0 0 0        .0134976667 .0000000002 .0000141421 .0000081649 -455.721771 -456.072262 0.350490 0.076850        .0196706667 0 0 0 -457.125977 -456.072262 1.053715 0.231041        .0116343334 .0000012805 .0011315917 .0006533247 -454.555542 -456.072262 1.516720 0.332561         
1572864       .0293653333 .0000000053 .0000728010 .0000420316 48.575928 50.042652 1.466725 2.930949        0 0 0 0 0 0 0 0        .0138326667 .0000000046 .0000678232 .0000391577 50.380783 50.042652 0.338131 0.675685        .0207713334 .0000000117 .0001081665 .0000624499 48.739746 50.042652 1.302906 2.603592        .0113216667 .0000000034 .0000583095 .0000336650 52.134186 50.042652 2.091533 4.179501         
1703936       .0311870000 .0000000005 .0000223606 .0000129098 176.730713 178.086514 1.355801 0.761316        0 0 0 0 0 0 0 0        .0141043334 .0000000054 .0000734846 .0000424263 178.345184 178.086514 0.258670 0.145250        .0219000000 .0000000014 .0000374165 .0000216024 177.061890 178.086514 1.024624 0.575352        .0116533333 .0000000344 .0001854723 .0001070824 179.730347 178.086514 1.643833 0.923053         
