8192       .0134516666 .0000000314 .0001772004 .0001023066 -27.234375 -27.224982 0.009393 0.034500        .0144193333 .0000000161 .0001268857 .0000732574 -27.234375 -27.224982 0.009393 0.034500        .0141343333 .0000002262 .0004756048 .0002745905 -27.234375 -27.224982 0.009393 0.034500        .0151640000 .0000000363 .0001905255 .0001099999 -27.234375 -27.224982 0.009393 0.034500         
16384       .0132956666 .0000000095 .0000974679 .0000562731 -105.812500 -105.854889 0.042389 0.040044        .0142923333 .0000000029 .0000538516 .0000310912 -105.812500 -105.854889 0.042389 0.040044        .0140620000 .0000000396 .0001989974 .0001148912 -105.812500 -105.854889 0.042389 0.040044        .0154270000 .0000002874 .0005360970 .0003095157 -105.812500 -105.854889 0.042389 0.040044         
24576       .0132073334 .0000000072 .0000848528 .0000489897 -144.875000 -144.951656 0.076656 0.052884        .0144756667 .0000000005 .0000223606 .0000129098 -144.875000 -144.951656 0.076656 0.052884        .0140803333 .0000001052 .0003243454 .0001872609 -144.875000 -144.951656 0.076656 0.052884        .0152793333 .0000000094 .0000969535 .0000559761 -144.875000 -144.951656 0.076656 0.052884         
32768       .0136993334 .0000000371 .0001926136 .0001112055 -99.875000 -99.856432 0.018568 0.018595        .0146370000 .0000001153 .0003395585 .0001960441 -99.875000 -99.856432 0.018568 0.018595        .0138976667 .0000000358 .0001892088 .0001092397 -99.875000 -99.856432 0.018568 0.018595        .0155190000 .0000000928 .0003046309 .0001758787 -99.875000 -99.856432 0.018568 0.018595         
40960       .0133600000 .0000000004 .0000200000 .0000115470 -2.734375 -2.768657 0.034282 1.238221        .0143626666 .0000000052 .0000721110 .0000416333 -2.734375 -2.768657 0.034282 1.238221        .0139840000 .0000000064 .0000800000 .0000461880 -2.734375 -2.768657 0.034282 1.238221        .0154540000 .0000000453 .0002128379 .0001228820 -2.734375 -2.768657 0.034282 1.238221         
49152       .0135106666 .0000000006 .0000244948 .0000141420 15.468750 15.484040 0.015290 0.098749        .0155673333 .0000030166 .0017368362 .0010027628 15.468750 15.484040 0.015290 0.098749        .0141263334 .0000000287 .0001694107 .0000978093 15.468750 15.484040 0.015290 0.098749        .0155403334 .0000001205 .0003471310 .0002004161 15.468750 15.484040 0.015290 0.098749         
57344       .0133603334 .0000000109 .0001044030 .0000602771 25.343750 25.346160 0.002410 0.009507        .0145593334 .0000000139 .0001178982 .0000680685 25.343750 25.346160 0.002410 0.009507        .0141186666 .0000000402 .0002004993 .0001157583 25.343750 25.346160 0.002410 0.009507        .0153680000 .0000000240 .0001549193 .0000894426 25.343750 25.346160 0.002410 0.009507         
65536       .0170933334 .0000000059 .0000768114 .0000443470 168.750000 168.795481 0.045481 0.026945        .0188053334 .0000000903 .0003004995 .0001734934 168.750000 168.795481 0.045481 0.026945        .0189830000 .0000000151 .0001228820 .0000709459 168.750000 168.795481 0.045481 0.026945        .0213616667 .0000002170 .0004658325 .0002689485 168.750000 168.795481 0.045481 0.026945         
73728       .0173783334 .0000000311 .0001763519 .0001018168 168.750000 199.728352 30.978352 15.510242        .0191226666 .0000000404 .0002009975 .0001160459 199.750000 199.728352 0.021648 0.010839        .0191526666 .0000000182 .0001349073 .0000778887 199.750000 199.728352 0.021648 0.010839        .0213106667 .0000000101 .0001004987 .0000580229 199.750000 199.728352 0.021648 0.010839         
81920       .0173060000 .0000000167 .0001292284 .0000746100 168.750000 118.450070 50.299930 42.465091        .0190553334 .0000000734 .0002709243 .0001564182 118.437500 118.450070 0.012570 0.010612        .0192410000 .0000000065 .0000806225 .0000465474 118.437500 118.450070 0.012570 0.010612        .0214150000 .0000000036 .0000600000 .0000346410 118.437500 118.450070 0.012570 0.010612         
