1476034560  128  1,  4.8328980000 .0000001503 .0003876854 .0002238302 -36364.003906 -36380.973613 16.969707 0.046644         
1476034560  128  2,  4.8319103333 .0000000136 .0001166190 .0000673300 -36362.089844 -36380.973613 18.883770 0.051906         
1476034560  128  4,  4.8358183334 .0000006820 .0008258329 .0004767948 -36379.312500 -36380.973613 1.661113 0.004566         
1476034560  128  6,  4.8356513333 .0000000128 .0001131370 .0000653196 -36373.042969 -36380.973613 7.930645 0.021799         
1476034560  128  8,  4.8355510000 .0000000452 .0002126029 .0001227463 -36358.417969 -36380.973613 22.555645 0.061998         
1476034560  128  10,  4.8368213333 .0000011312 .0010635788 .0006140575 -36339.492188 -36380.973613 41.481426 0.114020         
1476034560  128  12,  4.8357410000 .0000000345 .0001857417 .0001072380 -36360.054688 -36380.973613 20.918926 0.057500         
1476034560  128  14,  4.8359443333 0 0 0 -36347.167969 -36380.973613 33.805645 0.092921         
1476034560  128  16,  4.8401876666 .0000452509 .0067268789 .0038837653 -36275.214844 -36380.973613 105.758770 0.290698         
1476034560  128  20,  4.8366186667 .0000001716 .0004142463 .0002391652 -36396.285156 -36380.973613 15.311543 0.042087         
1476034560  128  24,  4.8413196667 .0000001109 .0003330165 .0001922671 -36312.082031 -36380.973613 68.891582 0.189362         
1476034560  128  28,  4.8417546666 .0000000080 .0000894427 .0000516397 -36347.468750 -36380.973613 33.504863 0.092094         
1476034560  128  32,  4.8450166667 .0000001125 .0003354101 .0001936491 -36273.023438 -36380.973613 107.950176 0.296722         
1476034560  128  40,  4.8491456667 .0000000738 .0002716615 .0001568438 -36258.707031 -36380.973613 122.266582 0.336073         
1476034560  128  48,  4.8527710000 .0000002216 .0004707440 .0002717841 -36192.460938 -36380.973613 188.512676 0.518163         
1476034560  128  56,  4.8584553333 .0000052383 .0022887332 .0013214007 -36259.273438 -36380.973613 121.700176 0.334516         
1476034560  128  64,  4.8580770000 .0000000848 .0002912043 .0001681268 -36184.078125 -36380.973613 196.895488 0.541205         
1476034560  128  72,  4.8645503334 .0000000368 .0001918332 .0001107549 -36259.535156 -36380.973613 121.438457 0.333797         
1476034560  128  80,  4.8633193334 .0000124930 .0035345438 .0020406698 -36201.480469 -36380.973613 179.493145 0.493371         
1476034560  128  88,  4.8634473333 .0000004127 .0006424173 .0003708998 -36409.863281 -36380.973613 28.889668 0.079409         
1476034560  128  96,  4.8658173334 .0000005941 .0007707788 .0004450093 -36209.324219 -36380.973613 171.649395 0.471811         
1476034560  128  104,  4.8681943333 .0000327502 .0057227790 .0033040479 -36300.039062 -36380.973613 80.934551 0.222464         
1476034560  128  112,  4.8672716667 .0000021991 .0014829362 .0008561736 -36306.089844 -36380.973613 74.883770 0.205832         
1476034560  128  120,  4.8672946667 .0000001714 .0004140048 .0002390257 -36264.566406 -36380.973613 116.407207 0.319967         
1476034560  128  128  4.8674176666 .0000000076 .0000871779 .0000503321 -36278.242188 -36380.973613 102.731426 0.282377         
