1476034560  32  1,  13.6642903334 .0000000661 .0002570992 .0001484362 -36352.324219 -36380.973613 28.649395 0.078748         
1476034560  32  2,  6.8389196667 .0000001798 .0004240283 .0002448128 -36363.757812 -36380.973613 17.215801 0.047321         
1476034560  32  4,  4.5307900000 0 0 0 -36340.437500 -36380.973613 40.536113 0.111421         
1476034560  32  6,  4.5333160000 .0000001504 .0003878143 .0002239046 -36282.613281 -36380.973613 98.360332 0.270362         
1476034560  32  8,  4.5365963334 .0000002113 .0004596737 .0002653927 -36367.230469 -36380.973613 13.743145 0.037776         
1476034560  32  10,  4.5348523334 .0000000453 .0002128379 .0001228820 -36311.496094 -36380.973613 69.477520 0.190972         
1476034560  32  12,  4.6244866666 .0000001363 .0003691882 .0002131509 -36360.105469 -36380.973613 20.868145 0.057360         
1476034560  32  14,  4.5363546666 .0000006847 .0008274660 .0004777377 -36389.203125 -36380.973613 8.229512 0.022620         
1476034560  32  16,  4.5677900000 .0000001088 .0003298484 .0001904380 -36409.316406 -36380.973613 28.342793 0.077906         
1476034560  32  20,  4.5324963333 .0000000142 .0001191637 .0000687991 -36335.105469 -36380.973613 45.868145 0.126077         
1476034560  32  24,  4.5605890000 .0000012273 .0011078357 .0006396092 -36340.617188 -36380.973613 40.356426 0.110927         
1476034560  32  28,  4.6317216666 .0000017375 .0013181426 .0007610299 -36347.105469 -36380.973613 33.868145 0.093093         
1476034560  32  32,  4.5623633334 .0000000244 .0001562049 .0000901849 -36337.187500 -36380.973613 43.786113 0.120354         
1476034560  32  40,  4.5589833334 .0000000035 .0000591607 .0000341564 -36462.128906 -36380.973613 81.155293 0.223071         
1476034560  32  48,  4.5949336666 .0000004287 .0006547518 .0003780211 -36450.988281 -36380.973613 70.014668 0.192449         
1476034560  32  56,  4.6223043333 .0000092878 .0030475892 .0017595264 -36391.769531 -36380.973613 10.795918 0.029675         
1476034560  32  64,  4.5473450000 .0000003811 .0006173329 .0003564173 -36332.859375 -36380.973613 48.114238 0.132251         
1476034560  32  72,  4.6832970000 .0000025866 .0016082910 .0009285472 -36616.445312 -36380.973613 235.471699 0.647239         
1476034560  32  80,  4.5838333334 .0000035969 .0018965494 .0010949733 -36516.050781 -36380.973613 135.077168 0.371285         
1476034560  32  88,  4.5693983333 .0000017942 .0013394775 .0007733476 -36331.273438 -36380.973613 49.700176 0.136610         
1476034560  32  96,  4.7114580000 .0000713302 .0084457208 .0048761391 -36591.496094 -36380.973613 210.522480 0.578661         
1476034560  32  104,  4.6188543334 .0000009750 .0009874208 .0005700876 -36418.675781 -36380.973613 37.702168 0.103632         
1476034560  32  112,  4.7722166666 .0000073640 .0027136691 .0015667375 -36479.644531 -36380.973613 98.670918 0.271216         
1476034560  32  120,  4.5653660000 .0000004312 .0006566582 .0003791217 -36398.613281 -36380.973613 17.639668 0.048486         
1476034560  32  128  4.5881056667 .0000003129 .0005593746 .0003229550 -36541.941406 -36380.973613 160.967793 0.442450         
