524288       .0092480000 .0000000012 .0000346410 .0000199999 261822.375000 261822.168635 0.206365 0.000079        .0109803333 .0000000017 .0000412310 .0000238047 inf 261822.168635 inf inf        .0129880000 .0000022918 .0015138692 .0008740327 261822.171875 261822.168635 0.003240 0.000001        .0455560000 .0000002479 .0004978955 .0002874601 261822.953125 261822.168635 0.784490 0.000300         
1048576       .0121303333 .0000013513 .0011624543 .0006711433 523743.250000 523742.119766 1.130234 0.000216        .0124203333 .0000000389 .0001972308 .0001138712 inf 523742.119766 inf inf        .0133013333 .0000000990 .0003146426 .0001816589 523742.125000 523742.119766 0.005234 0.000001        .0836543334 .0000000048 .0000692820 .0000399999 523743.500000 523742.119766 1.380234 0.000264         
1572864       .0131283333 .0000000001 .0000100000 .0000057735 785857.875000 785858.305552 0.430552 0.000055        .0145613333 .0000000008 .0000282842 .0000163298 inf 785858.305552 inf inf        .0147380000 .0000000279 .0001670329 .0000964364 785858.312500 785858.305552 0.006948 0.000001        .1216953333 .0000000144 .0001200000 .0000692820 785861.875000 785858.305552 3.569448 0.000454         
2097152       .0140460000 .0000000052 .0000721110 .0000416333 1048310.250000 1048311.956171 1.706171 0.000163        .0155393333 .0000000309 .0001757839 .0001014888 inf 1048311.956171 inf inf        .0239320000 .0000000001 .0000100000 .0000057735 1048312.000000 1048311.956171 0.043829 0.000004        .1597406666 .0000000090 .0000948683 .0000547722 1048312.000000 1048311.956171 0.043829 0.000004         
2621440       .0148713333 .0000000060 .0000774596 .0000447213 1310469.375000 1310468.802988 0.572012 0.000044        .0168436667 .0000000174 .0001319090 .0000761576 inf 1310468.802988 inf inf        .0277120000 .0000005531 .0007437069 .0004293793 1310468.750000 1310468.802988 0.052988 0.000004        .1979660000 .0000000048 .0000692820 .0000399999 1310470.875000 1310468.802988 2.072012 0.000158         
3145728       .0171966667 .0000000410 .0002024845 .0001169044 1572735.375000 1572734.690346 0.684654 0.000044        .0186356666 .0000000489 .0002211334 .0001276714 inf 1572734.690346 inf inf        .0306623334 .0000000223 .0001493318 .0000862167 1572734.625000 1572734.690346 0.065346 0.000004        .2363773334 .0000000791 .0002812472 .0001623781 1572730.500000 1572734.690346 4.190346 0.000266         
3670016       .0204160000 .0000000483 .0002197726 .0001268857 1835159.500000 1835161.365238 1.865238 0.000102        .0228780000 .0000003828 .0006187083 .0003572114 inf 1835161.365238 inf inf        .0349833334 .0000003617 .0006014149 .0003472270 1835161.375000 1835161.365238 0.009762 0.000001        .2744940000 .0000000154 .0001240967 .0000716472 1835143.625000 1835161.365238 17.740238 0.000967         
4194304       .0222176667 .0000000074 .0000860232 .0000496655 2097275.250000 2097276.504717 1.254717 0.000060        .0245543333 .0000002561 .0005060632 .0002921757 inf 2097276.504717 inf inf        .0374313333 .0000000411 .0002027313 .0001170469 2097276.500000 2097276.504717 0.004717 0.000000        .3126240000 .0000000158 .0001256980 .0000725717 2097274.250000 2097276.504717 2.254717 0.000108         
4718592       .0242050000 .0000002231 .0004723346 .0002727025 2359584.250000 2359585.905372 1.655372 0.000070        .0269226667 .0000017765 .0013328540 .0007695236 inf 2359585.905372 inf inf        .0402860000 .0000001082 .0003289376 .0001899122 2359585.750000 2359585.905372 0.155372 0.000007        .3507700000 .0000000036 .0000600000 .0000346410 2359564.500000 2359585.905372 21.405372 0.000907         
5242880       .0254443334 .0000000046 .0000678232 .0000391577 2621691.500000 2621693.916483 2.416483 0.000092        .0274983333 .0000000536 .0002315167 .0001336662 inf 2621693.916483 inf inf        .0455083333 .0000111274 .0033357757 .0019259109 2621693.750000 2621693.916483 0.166483 0.000006        .3889833334 .0000000140 .0001183215 .0000683129 2621664.500000 2621693.916483 29.416483 0.001122         
