524288       .0103433334 .0000007905 .0008891006 .0005133224 -1228.054199 -1228.051287 0.002912 0.000237        .0114440000 .0000000006 .0000244948 .0000141420 -1228.000000 -1228.051287 0.051287 0.004176        .0121256667 .0000000040 .0000632455 .0000365148 -1228.051270 -1228.051287 0.000017 0.000001        .0508246666 .0000000453 .0002128379 .0001228820 -1227.806152 -1228.051287 0.245135 0.019961         
1048576       .0119126666 .0000000140 .0001183215 .0000683129 -1029.380981 -1029.068143 0.312839 0.030400        .0132760000 .0000000122 .0001104536 .0000637704 -1028.000000 -1029.068143 1.068143 0.103797        .0138176666 .0000000044 .0000663324 .0000382970 -1029.067993 -1029.068143 0.000150 0.000015        .0942423334 .0000001084 .0003292415 .0001900876 -1029.814209 -1029.068143 0.746066 0.072499         
1572864       .0136873334 .0000000140 .0001183215 .0000683129 50.230652 50.042652 0.187999 0.375678        .0145130000 .0000000020 .0000447213 .0000258198 52.500000 50.042652 2.457348 4.910506        .0219746666 .0000000997 .0003157530 .0001823000 50.042809 50.042652 0.000156 0.000312        .1370113334 .0000001360 .0003687817 .0002129162 48.643555 50.042652 1.399098 2.795811         
2097152       .0150860000 .0000000249 .0001577973 .0000911043 577.285034 576.926100 0.358934 0.062215        .0155670000 .0000000387 .0001967231 .0001135781 580.000000 576.926100 3.073900 0.532806        .0263733333 .0000002336 .0004833218 .0002790459 576.926270 576.926100 0.000169 0.000029        .1793363334 .0000000035 .0000591607 .0000341564 575.428223 576.926100 1.497878 0.259631         
2621440       .0183640000 .0000000663 .0002574878 .0001486606 1716.343628 1715.699379 0.644249 0.037550        .0203533333 .0000002585 .0005084289 .0002935415 1716.000000 1715.699379 0.300621 0.017522        .0297600000 .0000001807 .0004250882 .0002454247 1715.699585 1715.699379 0.000206 0.000012        .2225496666 .0000000140 .0001183215 .0000683129 1713.443604 1715.699379 2.255775 0.131478         
3145728       .0211283334 .0000007581 .0008706893 .0005026927 1794.552612 1794.211291 0.341321 0.019023        .0228920000 .0000000990 .0003146426 .0001816589 1796.000000 1794.211291 1.788709 0.099693        .0327136666 .0000000846 .0002908607 .0001679285 1794.211426 1794.211291 0.000134 0.000007        .2654550000 .0000000245 .0001565247 .0000903695 1792.408569 1794.211291 1.802722 0.100474         
3670016       .0225280000 .0000000104 .0001019803 .0000588783 1932.637207 1932.399055 0.238152 0.012324        .0249010000 .0000000793 .0002816025 .0001625832 1934.000000 1932.399055 1.600945 0.082848        .0358153334 .0000000466 .0002158703 .0001246327 1932.399292 1932.399055 0.000237 0.000012        .3082560000 .0000000254 .0001593737 .0000920144 1930.562012 1932.399055 1.837044 0.095065         
4194304       .0239960000 .0000000034 .0000583095 .0000336650 987.452637 987.422122 0.030515 0.003090        .0259606667 .0000001920 .0004381780 .0002529821 991.000000 987.422122 3.577878 0.362345        .0394453334 .0000000301 .0001734935 .0001001665 987.422363 987.422122 0.000241 0.000024        .3510956666 .0000000244 .0001562049 .0000901849 985.728149 987.422122 1.693973 0.171555         
4718592       .0255660000 .0000000454 .0002130727 .0001230175 511.358521 511.429606 0.071085 0.013899        .0280630000 .0000001021 .0003195309 .0001844812 516.000000 511.429606 4.570394 0.893651        .0427030000 .0000001296 .0003600000 .0002078460 511.429932 511.429606 0.000326 0.000064        .3939666666 .0000000140 .0001183215 .0000683129 510.012695 511.429606 1.416911 0.277049         
5242880       .0271723334 .0000000039 .0000624499 .0000360554 1236.934204 1237.020073 0.085869 0.006942        .0300920000 .0000000096 .0000979795 .0000565684 1242.000000 1237.020073 4.979927 0.402574        .0459903334 .0000000267 .0001634013 .0000943397 1237.020264 1237.020073 0.000191 0.000015        .4369396666 .0000000319 .0001786057 .0001031180 1235.645752 1237.020073 1.374321 0.111099         
5767168       .0287403333 .0000000560 .0002366431 .0001366259 -862.955811 -864.165596 1.209785 0.139995        .0312203334 .0000007019 .0008377947 .0004837009 -861.000000 -864.165596 3.165596 0.366318        .0488980000 .0000000114 .0001067707 .0000616440 -864.165527 -864.165596 0.000068 0.000008        .4349613333 .0000000140 .0001183215 .0000683129 -864.869629 -864.165596 0.704033 0.081470         
6291456       .0300683333 .0000001463 .0003824918 .0002208317 -1035.006958 -1036.420194 1.413236 0.136357        .0325303333 .0000000308 .0001754992 .0001013245 -1032.000000 -1036.420194 4.420194 0.426487        .0519830000 .0000000613 .0002475883 .0001429451 -1036.420166 -1036.420194 0.000028 0.000003        .4735660000 .0000000138 .0001174734 .0000678232 -1037.256104 -1036.420194 0.835910 0.080654         
6815744       .0314710000 .0000000245 .0001565247 .0000903695 -1860.411987 -1861.573160 1.161172 0.062376        .0340290000 .0000000182 .0001349073 .0000778887 -1859.000000 -1861.573160 2.573160 0.138225        .0550570000 .0000000066 .0000812403 .0000469041 -1861.573242 -1861.573160 0.000082 0.000004        .5123753334 .0000000140 .0001183215 .0000683129 -1863.096191 -1861.573160 1.523032 0.081814         
7340032       .0329353334 .0000000146 .0001208304 .0000697614 -980.298462 -981.507155 1.208693 0.123147        .0358400000 .0000002568 .0005067543 .0002925747 -980.000000 -981.507155 1.507155 0.153555        .0607500000 .0000113141 .0033636438 .0019420006 -981.506958 -981.507155 0.000197 0.000020        .5512233334 0 0 0 -982.791260 -981.507155 1.284105 0.130830         
7864320       .0342700000 .0000000034 .0000583095 .0000336650 -1699.247314 -1700.682243 1.434929 0.084374        .0376023334 .0000000522 .0002284731 .0001319090 -1699.000000 -1700.682243 1.682243 0.098916        .0627083334 .0000001940 .0004404543 .0002542964 -1700.682251 -1700.682243 0.000008 0.000000        .5899263333 .0000000105 .0001024695 .0000591607 -1701.925049 -1700.682243 1.242805 0.073077         
8388608       .0364203334 .0000000980 .0003130495 .0001807392 -1831.273438 -1832.011937 0.738499 0.040311        .0390743333 .0000001238 .0003518522 .0002031419 -1831.000000 -1832.011937 1.011937 0.055236        .0651276667 .0000000385 .0001962141 .0001132842 -1832.011963 -1832.011937 0.000026 0.000001        .6288023333 .0000000242 .0001555634 .0000898145 -1834.160400 -1832.011937 2.148464 0.117273         
8912896       .0379563334 .0000000140 .0001183215 .0000683129 -2090.944580 -2091.480572 0.535992 0.025627        .0406593334 .0000000108 .0001039230 .0000599999 -2088.000000 -2091.480572 3.480572 0.166417        .0683370000 .0000000419 .0002046948 .0001181805 -2091.480713 -2091.480572 0.000141 0.000007        .6676136667 .0000000873 .0002954657 .0001705872 -2093.403076 -2091.480572 1.922504 0.091921         
9437184       .0393900000 .0000000034 .0000583095 .0000336650 -1427.367065 -1427.642334 0.275269 0.019281        .0421100000 .0000000811 .0002847806 .0001644181 -1429.000000 -1427.642334 1.357666 0.095098        .0713910000 .0000001773 .0004210700 .0002431048 -1427.642334 -1427.642334 0.000000 0.000000        .7063550000 .0000000420 .0002049390 .0001183215 -1430.625977 -1427.642334 2.983642 0.208991         
9961472       .0409256666 .0000000244 .0001562049 .0000901849 -719.951965 -719.788301 0.163664 0.022738        .0440543333 .0000000172 .0001311487 .0000757187 -723.000000 -719.788301 3.211699 0.446200        .0748276666 .0000000090 .0000948683 .0000547722 -719.788330 -719.788301 0.000029 0.000004        .7451560000 .0000000092 .0000959166 .0000553774 -722.911255 -719.788301 3.122954 0.433871         
10485760       .0426656667 .0000000967 .0003109662 .0001795364 -1130.813843 -1130.421198 0.392645 0.034734        .0452556666 .0000000279 .0001670329 .0000964364 -1133.000000 -1130.421198 2.578802 0.228128        .0778346667 .0000000912 .0003019933 .0001743559 -1130.421387 -1130.421198 0.000189 0.000017        .7839403334 .0000000244 .0001562049 .0000901849 -1133.329468 -1130.421198 2.908270 0.257273         
11010048       .0440320000 .0000000104 .0001019803 .0000588783 -334.120361 -333.930709 0.189653 0.056794        .0472330000 .0000000128 .0001131370 .0000653196 -337.000000 -333.930709 3.069291 0.919140        .0814050000 .0000000678 .0002603843 .0001503329 -333.931152 -333.930709 0.000444 0.000133        .8226123334 .0000000036 .0000600000 .0000346410 -336.828003 -333.930709 2.897294 0.867633         
11534336       .0458750000 0 0 0 324.789429 325.069275 0.279846 0.086088        .0488183334 .0000002132 .0004617358 .0002665832 323.000000 325.069275 2.069275 0.636564        .0852063334 .0000008109 .0009004998 .0005199038 325.069336 325.069275 0.000061 0.000019        .8617620000 .0000001514 .0003891015 .0002246478 322.367310 325.069275 2.701965 0.831197         
12058624       .0474080000 .0000000915 .0003024896 .0001746424 760.968079 761.478321 0.510242 0.067007        .0505133334 .0000000039 .0000624499 .0000360554 758.000000 761.478321 3.478321 0.456785        .0881066667 .0000000452 .0002126029 .0001227463 761.478271 761.478321 0.000049 0.000006        .9002666667 .0000000455 .0002133072 .0001231529 758.914429 761.478321 2.563892 0.336699         
12582912       .0489813333 .0000000035 .0000591607 .0000341564 865.087708 865.649912 0.562204 0.064946        .0523563334 .0000000205 .0001431782 .0000826639 863.000000 865.649912 2.649912 0.306118        .0912466666 .0000000987 .0003141655 .0001813835 865.649902 865.649912 0.000009 0.000001        .9389730000 .0000000030 .0000547722 .0000316227 862.903320 865.649912 2.746591 0.317287         
13107200       .0505843334 .0000000418 .0002044504 .0001180394 -495.350159 -494.723012 0.627147 0.126767        .0539220000 .0000000076 .0000871779 .0000503321 -495.000000 -494.723012 0.276988 0.055988        .0947850000 .0000000235 .0001532970 .0000885060 -494.722900 -494.723012 0.000112 0.000023        .9778433334 .0000000030 .0000547722 .0000316227 -498.333984 -494.723012 3.610972 0.729898         
