524288       .0111163334 .0000000062 .0000787400 .0000454605 -1227.976562 -1228.051287 0.074724 0.006085        .0368866667 .0000008784 .0009372299 .0005411099 -1228.000000 -1228.051287 0.051287 0.004176        .0088060000 0 0 0 -1227.789551 -1228.051287 0.261736 0.021313        .0100123333 .0000000026 .0000509901 .0000294391 -1227.900391 -1228.051287 0.150896 0.012287        .0095910000 0 0 0 -1227.271606 -1228.051287 0.779681 0.063489         
1048576       .0145520000 .0000000026 .0000509901 .0000294391 -1029.948975 -1029.068143 0.880832 0.085595        0 0 0 0 0 0 0 0        .0099903334 .0000000606 .0002461706 .0001421266 -1028.531006 -1029.068143 0.537137 0.052196        .0122313333 .0000000015 .0000387298 .0000223606 -1029.899292 -1029.068143 0.831149 0.080767        .0103193334 .0000000003 .0000173205 .0000099999 -1028.191284 -1029.068143 0.876859 0.085209         
1572864       .0182043333 .0000000096 .0000979795 .0000565684 48.575928 50.042652 1.466725 2.930949        0 0 0 0 0 0 0 0        .0113330000 .0000000036 .0000600000 .0000346410 50.380585 50.042652 0.337932 0.675288        .0146093334 .0000000244 .0001562049 .0000901849 48.740112 50.042652 1.302540 2.602860        .0116166666 .0000000120 .0001095445 .0000632455 52.134033 50.042652 2.091381 4.179196         
2097152       .0216973334 .0000000189 .0001374772 .0000793724 575.329834 576.926100 1.596266 0.276685        0 0 0 0 0 0 0 0        .0124586667 .0000000035 .0000591607 .0000341564 577.325500 576.926100 0.399400 0.069229        .0168620000 .0000000779 .0002791057 .0001611417 576.632568 576.926100 0.293532 0.050879        .0130616666 .0000000493 .0002220360 .0001281925 578.967468 576.926100 2.041368 0.353835         
2621440       .0281940000 .0000000709 .0002662705 .0001537313 1713.250732 1715.699379 2.448646 0.142720        0 0 0 0 0 0 0 0        .0173510000 .0000000073 .0000854400 .0000493288 1716.571777 1715.699379 0.872399 0.050848        .0222886667 .0000000782 .0002796426 .0001614517 1715.258667 1715.699379 0.440712 0.025687        .0170100000 .0000000702 .0002649528 .0001529705 1717.436157 1715.699379 1.736778 0.101229         
3145728       .0319606667 .0000000072 .0000848528 .0000489897 1792.119385 1794.211291 2.091907 0.116592        0 0 0 0 0 0 0 0        .0191940000 .0000000071 .0000842614 .0000486483 1795.019165 1794.211291 0.807874 0.045027        .0254180000 .0000000166 .0001288409 .0000743863 1794.257324 1794.211291 0.046033 0.002566        .0193423334 .0000000027 .0000519615 .0000299999 1795.703247 1794.211291 1.491956 0.083154         
3670016       .0362376666 .0000000840 .0002898275 .0001673319 1930.463623 1932.399055 1.935432 0.100157        0 0 0 0 0 0 0 0        .0211736667 .0000000436 .0002088061 .0001205542 1932.998657 1932.399055 0.599602 0.031029        .0277960000 .0000000027 .0000519615 .0000299999 1932.004883 1932.399055 0.394173 0.020398        .0209916666 .0000000046 .0000678232 .0000391577 1933.597656 1932.399055 1.198601 0.062027         
4194304       .0402433333 .0000000664 .0002576819 .0001487727 985.898804 987.422122 1.523318 0.154272        0 0 0 0 0 0 0 0        .0227780000 .0000000027 .0000519615 .0000299999 987.853027 987.422122 0.430905 0.043639        .0305490000 .0000000454 .0002130727 .0001230175 987.278320 987.422122 0.143802 0.014563        .0228696666 .0000000243 .0001558845 .0000899999 986.927368 987.422122 0.494754 0.050106         
4718592       .0442713334 .0000000221 .0001486606 .0000858292 510.229370 511.429606 1.200236 0.234683        0 0 0 0 0 0 0 0        .0243596666 .0000000119 .0001090871 .0000629814 511.938965 511.429606 0.509359 0.099595        .0332803334 .0000000011 .0000331662 .0000191485 512.870850 511.429606 1.441244 0.281807        .0247010000 .0000000166 .0001288409 .0000743863 510.110474 511.429606 1.319132 0.257930         
5242880       .0483440000 .0000000656 .0002561249 .0001478737 1235.908081 1237.020073 1.111992 0.089893        0 0 0 0 0 0 0 0        .0261803334 .0000000244 .0001562049 .0000901849 1237.816284 1237.020073 0.796211 0.064365        .0360900000 .0000000190 .0001378404 .0000795821 1238.841309 1237.020073 1.821236 0.147228        .0265103333 .0000000004 .0000200000 .0000115470 1235.580566 1237.020073 1.439507 0.116369         
5767168       .0524516666 .0000000026 .0000509901 .0000294391 -864.440063 -864.165596 0.274468 0.031761        0 0 0 0 0 0 0 0        .0275796666 .0000000035 .0000591607 .0000341564 -863.119446 -864.165596 1.046150 0.121059        .0387750000 .0000000152 .0001232882 .0000711804 -861.662354 -864.165596 2.503242 0.289672        .0290820000 0 0 0 -865.406677 -864.165596 1.241082 0.143616         
6291456       .0563423334 .0000000003 .0000173205 .0000099999 -1037.077271 -1036.420194 0.657077 0.063399        0 0 0 0 0 0 0 0        .0291150000 .0000000140 .0001183215 .0000683129 -1035.089844 -1036.420194 1.330350 0.128360        .0414720000 .0000000152 .0001232882 .0000711804 -1034.812012 -1036.420194 1.608182 0.155167        .0295826666 .0000000203 .0001424780 .0000822597 -1037.015747 -1036.420194 0.595553 0.057463         
6815744       .0604050000 .0000000027 .0000519615 .0000299999 -1862.918457 -1861.573160 1.345297 0.072267        0 0 0 0 0 0 0 0        .0309363333 .0000000109 .0001044030 .0000602771 -1860.657227 -1861.573160 0.915933 0.049202        .0441570000 .0000000074 .0000860232 .0000496655 -1859.905029 -1861.573160 1.668130 0.089609        .0308790000 .0000000248 .0001574801 .0000909211 -1862.714600 -1861.573160 1.141440 0.061316         
7340032       .0643863333 .0000000003 .0000173205 .0000099999 -982.678223 -981.507155 1.171067 0.119313        0 0 0 0 0 0 0 0        .0323806666 .0000000027 .0000519615 .0000299999 -980.256104 -981.507155 1.251052 0.127462        .0470016667 .0000000977 .0003125699 .0001804623 -980.216309 -981.507155 1.290847 0.131517        .0325176667 .0000000466 .0002158703 .0001246327 -982.462402 -981.507155 0.955247 0.097325         
7864320       .0683693334 .0000000186 .0001363818 .0000787400 -1701.831543 -1700.682243 1.149300 0.067579        0 0 0 0 0 0 0 0        .0340876666 .0000000049 .0000700000 .0000404145 -1699.109985 -1700.682243 1.572258 0.092449        .0494593333 .0000000220 .0001483239 .0000856348 -1699.202637 -1700.682243 1.479607 0.087001        .0339956667 .0000000572 .0002391652 .0001380820 -1701.729858 -1700.682243 1.047615 0.061600         
8388608       .0723510000 .0000000668 .0002584569 .0001492201 -1833.971680 -1832.011937 1.959743 0.106972        0 0 0 0 0 0 0 0        .0358403334 .0000000314 .0001772004 .0001023066 -1830.784668 -1832.011937 1.227269 0.066990        .0523266667 .0000000081 .0000900000 .0000519615 -1831.913330 -1832.011937 0.098607 0.005382        .0357716666 .0000000150 .0001224744 .0000707106 -1833.251953 -1832.011937 1.240016 0.067686         
