524288       .0109596667 .0000000334 .0001827566 .0001055145 -1227.976562 -1228.051287 0.074724 0.006085        .0358390000 .0000013537 .0011634861 .0006717390 -1228.000000 -1228.051287 0.051287 0.004176        .0096620000 .0000014810 .0012169634 .0007026141 -1227.789429 -1228.051287 0.261858 0.021323        .0100353334 .0000000105 .0001024695 .0000591607 -1227.900391 -1228.051287 0.150896 0.012287        .0095956667 .0000000131 .0001144552 .0000660807 -1227.271606 -1228.051287 0.779681 0.063489         
1048576       .0140926666 .0000000037 .0000608276 .0000351188 -1029.948975 -1029.068143 0.880832 0.085595        0 0 0 0 0 0 0 0        .0099016666 .0000000038 .0000616441 .0000355902 -1028.530762 -1029.068143 0.537381 0.052220        .0120480000 .0000000033 .0000574456 .0000331662 -1029.899170 -1029.068143 0.831027 0.080755        .0103423333 .0000000105 .0001024695 .0000591607 -1028.191040 -1029.068143 0.877103 0.085233         
1572864       .0177843334 .0000001086 .0003295451 .0001902629 48.575928 50.042652 1.466725 2.930949        0 0 0 0 0 0 0 0        .0115710000 .0000001991 .0004462062 .0002576172 50.381271 50.042652 0.338619 0.676661        .0142680000 .0000000034 .0000583095 .0000336650 48.740234 50.042652 1.302418 2.602616        .0116736667 .0000000105 .0001024695 .0000591607 52.134094 50.042652 2.091442 4.179318         
2097152       .0208276666 .0000000134 .0001157583 .0000668330 575.329834 576.926100 1.596266 0.276685        0 0 0 0 0 0 0 0        .0122880000 .0000000104 .0001019803 .0000588783 577.324890 576.926100 0.398790 0.069123        .0165193334 .0000000036 .0000600000 .0000346410 576.632568 576.926100 0.293532 0.050879        .0130026667 .0000000095 .0000974679 .0000562731 578.967346 576.926100 2.041246 0.353814         
2621440       .0266953333 .0000000038 .0000616441 .0000355902 1713.250732 1715.699379 2.448646 0.142720        0 0 0 0 0 0 0 0        .0177876667 .0000001467 .0003830143 .0002211334 1716.571289 1715.699379 0.871910 0.050820        .0220866666 .0000000246 .0001568438 .0000905538 1715.258789 1715.699379 0.440590 0.025680        .0173056666 .0000000734 .0002709243 .0001564182 1717.436157 1715.699379 1.736778 0.101229         
3145728       .0303106667 .0000000734 .0002709243 .0001564182 1792.119385 1794.211291 2.091907 0.116592        0 0 0 0 0 0 0 0        .0198343333 .0000000438 .0002092844 .0001208304 1795.018433 1794.211291 0.807141 0.044986        .0246473333 .0000000038 .0000616441 .0000355902 1794.258301 1794.211291 0.047009 0.002620        .0197303334 .0000000457 .0002137755 .0001234233 1795.703247 1794.211291 1.491956 0.083154         
3670016       .0339966666 .0000001360 .0003687817 .0002129162 1930.463623 1932.399055 1.935432 0.100157        0 0 0 0 0 0 0 0        .0213706666 .0000000133 .0001153256 .0000665832 1933.000244 1932.399055 0.601189 0.031111        .0273066667 .0000000455 .0002133072 .0001231529 1932.004883 1932.399055 0.394173 0.020398        .0220523334 .0000007551 .0008689649 .0005016971 1933.597656 1932.399055 1.198601 0.062027         
4194304       .0374110000 .0000000033 .0000574456 .0000331662 985.898804 987.422122 1.523318 0.154272        0 0 0 0 0 0 0 0        .0232446666 .0000000105 .0001024695 .0000591607 987.852234 987.422122 0.430112 0.043559        .0297343334 .0000000030 .0000547722 .0000316227 987.278076 987.422122 0.144046 0.014588        .0231420000 0 0 0 986.927368 987.422122 0.494754 0.050106         
4718592       .0417793334 .0000000105 .0001024695 .0000591607 510.229370 511.429606 1.200236 0.234683        0 0 0 0 0 0 0 0        .0247146666 .0000000033 .0000574456 .0000331662 511.939636 511.429606 0.510030 0.099726        .0324606667 .0000000105 .0001024695 .0000591607 512.870605 511.429606 1.441000 0.281759        .0250870000 0 0 0 510.109863 511.429606 1.319743 0.258050         
5242880       .0448480000 .0000000095 .0000974679 .0000562731 1235.908081 1237.020073 1.111992 0.089893        0 0 0 0 0 0 0 0        .0265900000 .0000001504 .0003878143 .0002239046 1237.814819 1237.020073 0.794746 0.064247        .0351573334 .0000000557 .0002360084 .0001362595 1238.841309 1237.020073 1.821236 0.147228        .0267593334 .0000000239 .0001545962 .0000892561 1235.581177 1237.020073 1.438896 0.116320         
