524288       .0109906667 .0000000560 .0002366431 .0001366259 261825.750000 261822.168635 3.581365 0.001368        .0350880000 .0000000447 .0002114237 .0001220655 inf 261822.168635 inf inf        .0093496667 .0000003535 .0005945586 .0003432685 261822.734375 261822.168635 0.565740 0.000216        .0105750000 .0000000261 .0001615549 .0000932737 261822.015625 261822.168635 0.153010 0.000058        .0098283334 .0000000108 .0001039230 .0000599999 261824.562500 261822.168635 2.393865 0.000914         
1048576       .0142680000 .0000000663 .0002574878 .0001486606 523745.750000 523742.119766 3.630234 0.000693        0 0 0 0 0 0 0 0        .0099370000 0 0 0 523742.718750 523742.119766 0.598984 0.000114        .0125610000 .0000000034 .0000583095 .0000336650 523743.218750 523742.119766 1.098984 0.000210        .0103383334 .0000000105 .0001024695 .0000591607 523747.968750 523742.119766 5.848984 0.001117         
1572864       .0175773334 .0000000446 .0002111871 .0001219289 785859.750000 785858.305552 1.444448 0.000184        0 0 0 0 0 0 0 0        .0115006667 .0000000234 .0001529705 .0000883175 785858.250000 785858.305552 0.055552 0.000007        .0150826666 .0000000942 .0003069201 .0001772004 785856.812500 785858.305552 1.493052 0.000190        .0116396667 .0000000035 .0000591607 .0000341564 785864.562500 785858.305552 6.256948 0.000796         
2097152       .0207806666 .0000000099 .0000994987 .0000574456 1048314.250000 1048311.956171 2.293829 0.000219        0 0 0 0 0 0 0 0        .0121836666 .0000000111 .0001053565 .0000608276 1048312.250000 1048311.956171 0.293829 0.000028        .0169983334 .0000000418 .0002044504 .0001180394 1048311.437500 1048311.956171 0.518671 0.000049        .0129716667 .0000000868 .0002946183 .0001700979 1048317.375000 1048311.956171 5.418829 0.000517         
2621440       .0266240000 0 0 0 1310469.000000 1310468.802988 0.197012 0.000015        0 0 0 0 0 0 0 0        .0178220000 .0000000708 .0002660826 .0001536228 1310468.500000 1310468.802988 0.302988 0.000023        .0222933334 .0000000026 .0000509901 .0000294391 1310464.250000 1310468.802988 4.552988 0.000347        .0173396667 .0000000453 .0002128379 .0001228820 1310471.500000 1310468.802988 2.697012 0.000206         
3145728       .0304436667 .0000002570 .0005069516 .0002926886 1572735.750000 1572734.690346 1.059654 0.000067        0 0 0 0 0 0 0 0        .0195243333 .0000000244 .0001562049 .0000901849 1572733.125000 1572734.690346 1.565346 0.000100        .0251903334 .0000000105 .0001024695 .0000591607 1572736.625000 1572734.690346 1.934654 0.000123        .0197290000 .0000000034 .0000583095 .0000336650 1572735.125000 1572734.690346 0.434654 0.000028         
3670016       .0337910000 .0000000095 .0000974679 .0000562731 1835160.750000 1835161.365238 0.615238 0.000034        0 0 0 0 0 0 0 0        .0214366667 .0000000556 .0002357965 .0001361371 1835160.000000 1835161.365238 1.365238 0.000074        .0279573333 .0000005125 .0007158910 .0004133198 1835164.875000 1835161.365238 3.509762 0.000191        .0214700000 .0000000034 .0000583095 .0000336650 1835157.625000 1835161.365238 3.740238 0.000204         
4194304       .0375466667 .0000000977 .0003125699 .0001804623 2097275.250000 2097276.504717 1.254717 0.000060        0 0 0 0 0 0 0 0        .0231093334 .0000000448 .0002116601 .0001222020 2097276.000000 2097276.504717 0.504717 0.000024        .0302763334 .0000000453 .0002128379 .0001228820 2097277.000000 2097276.504717 0.495283 0.000024        .0233150000 .0000002305 .0004801041 .0002771882 2097271.500000 2097276.504717 5.004717 0.000239         
4718592       .0415443334 .0000002307 .0004803123 .0002773084 2359579.500000 2359585.905372 6.405372 0.000271        0 0 0 0 0 0 0 0        .0248843334 .0000000108 .0001039230 .0000599999 2359585.250000 2359585.905372 0.655372 0.000028        .0328363334 .0000000453 .0002128379 .0001228820 2359588.000000 2359585.905372 2.094628 0.000089        .0251913334 .0000000311 .0001763519 .0001018168 2359579.500000 2359585.905372 6.405372 0.000271         
5242880       .0452950000 .0000000037 .0000608276 .0000351188 2621688.000000 2621693.916483 5.916483 0.000226        0 0 0 0 0 0 0 0        .0272043334 .0000014092 .0011870973 .0006853709 2621693.000000 2621693.916483 0.916483 0.000035        .0360446667 .0000011334 .0010646126 .0006146543 2621697.000000 2621693.916483 3.083517 0.000118        .0267603334 .0000000035 .0000591607 .0000341564 2621683.000000 2621693.916483 10.916483 0.000416         
