524288       .0105813334 .0000010730 .0010358571 .0005980523 -1228.053955 -1228.051287 0.002668 0.000217        .0122410000 .0000018050 .0013435028 .0007756717 -1228.000000 -1228.071411 0.071411 0.005815        .0150560000 .0000212707 .0046120169 .0026627491 -1228.051270 -1228.071411 0.020142 0.001640        .0120480000 .0000007245 .0008511756 .0004914264 -1227.983887 -1228.051287 0.067400 0.005488         
1048576       .0118433333 .0000000142 .0001191637 .0000687991 -1029.381470 -1029.068143 0.313327 0.030448        .0135263333 .0000002097 .0004579301 .0002643860 -1028.000000 -1029.106934 1.106934 0.107563        .0138346667 .0000000028 .0000529150 .0000305504 -1029.067993 -1029.106934 0.038940 0.003784        .0144713334 .0000000033 .0000574456 .0000331662 -1030.093994 -1029.068143 1.025851 0.099687         
1572864       .0145066667 .0000021001 .0014491721 .0008366799 50.230438 50.042652 0.187786 0.375251        .0141160000 .0000001494 .0003865229 .0002231591 52.500000 50.006809 2.493191 4.985703        .0218593334 .0000000981 .0003132091 .0001808313 50.042809 50.006809 0.035999 0.071989        .0182610000 .0000000663 .0002574878 .0001486606 48.327148 50.042652 1.715504 3.428084         
2097152       .0150870000 .0000000034 .0000583095 .0000336650 577.285828 576.926100 0.359727 0.062352        .0157140000 .0000007466 .0008640601 .0004988653 580.000000 576.897339 3.102661 0.537819        .0271583334 .0000012834 .0011328724 .0006540641 576.926270 576.897339 0.028931 0.005015        .0222230000 .0000011476 .0010712609 .0006184927 575.069824 576.926100 1.856276 0.321753         
2621440       .0179200000 .0000000104 .0001019803 .0000588783 1716.343872 1715.699379 0.644493 0.037564        .0217516666 .0000007962 .0008923003 .0005151698 1716.000000 1715.670044 0.329956 0.019232        .0292823333 .0000000473 .0002174856 .0001255653 1715.699585 1715.670044 0.029541 0.001722        .0270666666 .0000000144 .0001200000 .0000692820 1713.192871 1715.699379 2.506508 0.146092         
3145728       .0206173333 .0000000249 .0001577973 .0000911043 1794.552979 1794.211291 0.341687 0.019044        .0229416667 .0000000358 .0001892088 .0001092397 1796.000000 1794.197510 1.802490 0.100462        .0329066666 .0000001192 .0003452535 .0001993322 1794.211426 1794.197510 0.013916 0.000776        .0305836666 .0000000244 .0001562049 .0000901849 1792.204590 1794.211291 2.006702 0.111843         
3670016       .0225620000 .0000000138 .0001174734 .0000678232 1932.634644 1932.399055 0.235588 0.012191        .0249590000 .0000000414 .0002034698 .0001174733 1934.000000 1932.392822 1.607178 0.083170        .0360830000 .0000000192 .0001385640 .0000799999 1932.399292 1932.392822 0.006470 0.000335        .0346783334 .0000000970 .0003114482 .0001798147 1930.070801 1932.399055 2.328255 0.120485         
4194304       .0242700000 .0000000730 .0002701851 .0001559914 987.453979 987.422122 0.031857 0.003226        .0261313333 .0000000214 .0001462873 .0000844590 991.000000 987.405273 3.594727 0.364058        .0393970000 .0000001744 .0004176122 .0002411085 987.422363 987.405273 0.017090 0.001731        .0378526667 .0000000141 .0001187434 .0000685565 985.023438 987.422122 2.398685 0.242924         
4718592       .0261803334 .0000014092 .0011870973 .0006853709 511.357849 511.429606 0.071757 0.014031        .0289580000 .0000000730 .0002701851 .0001559914 516.000000 511.426636 4.573364 0.894237        .0431390000 .0000005406 .0007352550 .0004244996 511.429932 511.426636 0.003296 0.000644        .0418813333 .0000000314 .0001772004 .0001023066 509.614990 511.429606 1.814616 0.354812         
5242880       .0271016667 .0000000244 .0001562049 .0000901849 1236.935181 1237.020073 0.084892 0.006863        .0303583333 .0000003856 .0006209669 .0003585154 1242.000000 1236.997070 5.002930 0.404442        .0456233333 .0000000927 .0003044667 .0001757839 1237.020264 1236.997070 0.023193 0.001875        .0438623334 .0000000240 .0001549193 .0000894426 1235.463135 1237.020073 1.556938 0.125862         
5767168       .0283990000 .0000000245 .0001565247 .0000903695 -862.955566 -864.165596 1.210029 0.140023        .0313270000 .0000001106 .0003325657 .0001920068 -861.000000 -864.204529 3.204529 0.370807        .0492736666 .0000009465 .0009728823 .0005616938 -864.165527 -864.204529 0.039001 0.004513        .0453973333 .0000000241 .0001552417 .0000896288 -865.046387 -864.165596 0.880791 0.101924         
6291456       .0299306667 .0000000446 .0002111871 .0001219289 -1035.005859 -1036.420194 1.414335 0.136463        .0325836666 .0000000327 .0001808314 .0001044030 -1032.000000 -1036.456787 4.456787 0.430002        .0526900000 .0000011923 .0010919249 .0006304231 -1036.420166 -1036.456787 0.036621 0.003533        .0487070000 .0000000033 .0000574456 .0000331662 -1037.625977 -1036.420194 1.205783 0.116341         
6815744       .0316416666 .0000000734 .0002709243 .0001564182 -1860.411377 -1861.573160 1.161783 0.062409        .0341153333 .0000001023 .0003198437 .0001846618 -1859.000000 -1861.606201 2.606201 0.139997        .0554860000 .0000000035 .0000591607 .0000341564 -1861.573242 -1861.606201 0.032959 0.001770        .0521896667 .0000000244 .0001562049 .0000901849 -1863.398438 -1861.573160 1.825278 0.098050         
7340032       .0330110000 .0000000542 .0002328089 .0001344122 -980.296143 -981.507155 1.211013 0.123383        .0355776667 .0000000513 .0002264950 .0001307669 -980.000000 -981.616699 1.616699 0.164698        .0588746666 .0000000246 .0001568438 .0000905538 -981.506958 -981.616699 0.109741 0.011180        .0556030000 .0000000420 .0002049390 .0001183215 -983.144531 -981.507155 1.637376 0.166823         
7864320       .0344746667 .0000000455 .0002133072 .0001231529 -1699.247559 -1700.682243 1.434685 0.084359        .0375723334 .0000000362 .0001902629 .0001098483 -1699.000000 -1700.815063 1.815063 0.106717        .0622600000 .0000000722 .0002687005 .0001551343 -1700.682251 -1700.815063 0.132812 0.007809        .0588810000 .0000000724 .0002690724 .0001553490 -1702.526855 -1700.682243 1.844612 0.108463         
8388608       .0363180000 .0000000138 .0001174734 .0000678232 -1831.272949 -1832.011937 0.738988 0.040337        .0391210000 .0000000386 .0001964688 .0001134313 -1831.000000 -1832.088013 1.088013 0.059386        .0657133334 .0000000013 .0000360555 .0000208166 -1832.011963 -1832.088013 0.076050 0.004151        .0620200000 .0000000034 .0000583095 .0000336650 -1834.741943 -1832.011937 2.730006 0.149017         
8912896       .0388096667 .0000005034 .0007095068 .0004096339 -2090.945557 -2091.480572 0.535015 0.025581        .0407613333 .0000000488 .0002209072 .0001275408 -2088.000000 -2091.554443 3.554443 0.169943        .0686240000 .0000003899 .0006244197 .0003605088 -2091.480713 -2091.554443 0.073730 0.003525        .0653993333 .0000000140 .0001183215 .0000683129 -2093.807617 -2091.480572 2.327045 0.111263         
9437184       .0393913334 .0000000144 .0001200000 .0000692820 -1427.366821 -1427.642334 0.275513 0.019298        .0431263333 .0000012242 .0011064357 .0006388009 -1429.000000 -1427.753784 1.246216 0.087285        .0712793334 .0000000044 .0000663324 .0000382970 -1427.642334 -1427.753784 0.111450 0.007806        .0688813334 .0000000140 .0001183215 .0000683129 -1430.995605 -1427.642334 3.353271 0.234882         
9961472       .0408236667 .0000000035 .0000591607 .0000341564 -719.955139 -719.788301 0.166838 0.023179        .0439543334 .0000000070 .0000836660 .0000483045 -723.000000 -719.851990 3.148010 0.437314        .0750046666 .0000000397 .0001992485 .0001150361 -719.788330 -719.851990 0.063660 0.008843        .0720586667 .0000000139 .0001178982 .0000680685 -723.512207 -719.788301 3.723906 0.517361         
10485760       .0425313334 .0000001077 .0003281767 .0001894729 -1130.816162 -1130.421198 0.394964 0.034940        .0458206667 .0000004949 .0007034912 .0004061608 -1133.000000 -1130.498779 2.501221 0.221249        .0783673333 .0000000599 .0002447447 .0001413034 -1130.421387 -1130.498779 0.077393 0.006846        .0753330000 .0000000032 .0000565685 .0000326598 -1133.870605 -1130.421198 3.449408 0.305144         
11010048       .0441683333 .0000000235 .0001532970 .0000885060 -334.118103 -333.930709 0.187394 0.056118        .0472056667 .0000000254 .0001593737 .0000920144 -337.000000 -334.004333 2.995667 0.896895        .0826246666 .0000030989 .0017603692 .0010163496 -333.931152 -334.004333 0.073181 0.021910        .0786090000 .0000000034 .0000583095 .0000336650 -337.305176 -333.930709 3.374467 1.010529         
11534336       .0459090000 .0000000663 .0002574878 .0001486606 324.789642 325.069275 0.279632 0.086022        .0491413333 .0000000159 .0001260952 .0000728010 323.000000 324.981567 1.981567 0.609748        .0850006667 .0000000429 .0002071231 .0001195825 325.069336 324.981567 0.087769 0.027007        .0821216667 .0000002231 .0004723346 .0002727025 321.859375 325.069275 3.209900 0.987451         
12058624       .0475796666 .0000000549 .0002343074 .0001352774 760.967773 761.478321 0.510547 0.067047        .0506506667 .0000000673 .0002594224 .0001497775 758.000000 761.394226 3.394226 0.445791        .0887276667 .0000006509 .0008067837 .0004657967 761.478271 761.394226 0.084045 0.011038        .0853300000 .0000000028 .0000529150 .0000305504 758.544434 761.478321 2.933887 0.385288         
12582912       .0490486667 .0000000114 .0001067707 .0000616440 865.087158 865.649912 0.562753 0.065009        .0522520000 .0000000204 .0001428285 .0000824620 863.000000 865.573792 2.573792 0.297351        .0915156666 .0000000536 .0002315167 .0001336662 865.649902 865.573792 0.076111 0.008793        .0887466667 .0000001499 .0003871692 .0002235322 862.337280 865.649912 3.312631 0.382676         
13107200       .0505173333 .0000000035 .0000591607 .0000341564 -495.352295 -494.723012 0.629283 0.127199        .0535850000 .0000003015 .0005490901 .0003170173 -495.000000 -494.810883 0.189117 0.038220        .0949110000 .0000000513 .0002264950 .0001307669 -494.722900 -494.810883 0.087982 0.017781        .0918506666 0 0 0 -498.846313 -494.723012 4.123301 0.833457         
13631488       .0520920000 .0000000027 .0000519615 .0000299999 -677.217529 -677.246371 0.028842 0.004259        .0556073334 .0000000694 .0002634387 .0001520964 -673.000000 -677.329102 4.329102 0.639143        .0979296667 .0000000160 .0001264911 .0000730296 -677.245850 -677.329102 0.083252 0.012291        .0958093334 .0000010250 .0010124228 .0005845225 -681.366333 -677.246371 4.119962 0.608340         
14155776       .0537940000 .0000000138 .0001174734 .0000678232 -697.924927 -698.200755 0.275828 0.039506        .0579203334 .0000019048 .0013801449 .0007968270 -695.000000 -698.288208 3.288208 0.470896        .1010900000 .0000001350 .0003674234 .0002121319 -698.200073 -698.288208 0.088135 0.012622        .0987786666 .0000000031 .0000556776 .0000321454 -702.372681 -698.200755 4.171926 0.597525         
14680064       .0555010000 0 0 0 -659.218994 -658.752981 0.466013 0.070742        .0586710000 .0000000357 .0001889444 .0001090871 -651.000000 -658.837585 7.837585 1.189608        .1041653334 .0000000854 .0002922327 .0001687206 -658.752319 -658.837585 0.085266 0.012942        .1018493334 .0000000237 .0001539480 .0000888819 -662.847290 -658.752981 4.094309 0.621524         
15204352       .0569683334 .0000000244 .0001562049 .0000901849 -1229.888184 -1230.334130 0.445946 0.036246        .0604640000 .0000000219 .0001479864 .0000854399 -1222.000000 -1230.431641 8.431641 0.685259        .1077183334 .0000001229 .0003505709 .0002024022 -1230.333252 -1230.431641 0.098389 0.007996        .1052670000 0 0 0 -1233.651978 -1230.334130 3.317848 0.269670         
15728640       .0585726666 .0000000105 .0001024695 .0000591607 -2600.694092 -2600.922814 0.228722 0.008794        .0614773333 .0000000664 .0002576819 .0001487727 -2594.000000 -2601.022949 7.022949 0.270007        .1108683334 .0000000942 .0003069201 .0001772004 -2600.922607 -2601.022949 0.100342 0.003858        .1085790000 .0000000460 .0002144761 .0001238278 -2603.811523 -2600.922814 2.888710 0.111065         
16252928       .0605186666 .0000000108 .0001039230 .0000599999 -3610.052246 -3610.015831 0.036415 0.001009        .0632586667 .0000000093 .0000964365 .0000556776 -3602.000000 -3610.069336 8.069336 0.223523        .1140266666 .0000000077 .0000877496 .0000506622 -3610.015625 -3610.069336 0.053711 0.001488        .1119913334 .0000000453 .0002128379 .0001228820 -3613.561523 -3610.015831 3.545693 0.098218         
16777216       .0619496666 .0000000111 .0001053565 .0000608276 -4356.557617 -4356.621237 0.063620 0.001460        .0649576666 .0000000774 .0002782085 .0001606237 -4344.000000 -4356.783203 12.783203 0.293409        .1174833333 .0000000364 .0001907878 .0001101513 -4356.620605 -4356.783203 0.162598 0.003732        .1151306666 .0000000036 .0000600000 .0000346410 -4359.843750 -4356.621237 3.222513 0.073968         
17301504       .0635223334 .0000001084 .0003292415 .0001900876 -3574.008789 -3573.480851 0.527938 0.014774        .0667840000 .0000000015 .0000387298 .0000223606 -3562.000000 -3573.595703 11.595703 0.324483        .1204843334 .0000003128 .0005592852 .0003229034 -3573.479980 -3573.595703 0.115723 0.003238        .1185760000 .0000000115 .0001072380 .0000619138 -3576.545654 -3573.480851 3.064804 0.085765         
17825792       .0650923334 .0000000453 .0002128379 .0001228820 -3583.470215 -3582.538706 0.931508 0.026001        .0682370000 .0000000395 .0001987460 .0001147460 -3568.000000 -3582.615967 14.615967 0.407969        .1247223334 .0000058576 .0024202479 .0013973307 -3582.539551 -3582.615967 0.076416 0.002133        .1217193333 .0000000140 .0001183215 .0000683129 -3586.006836 -3582.538706 3.468129 0.096806         
18350080       .0665236666 .0000000039 .0000624499 .0000360554 -4216.047852 -4215.619903 0.427949 0.010152        .0699523334 .0000000982 .0003133687 .0001809235 -4208.000000 -4215.678223 7.678223 0.182135        .1268126667 .0000002162 .0004649731 .0002684523 -4215.620117 -4215.678223 0.058105 0.001378        .1253043334 .0000000448 .0002116601 .0001222020 -4218.576172 -4215.619903 2.956269 0.070127         
18874368       .0682676666 .0000000450 .0002121320 .0001224744 -4111.956055 -4111.916044 0.040010 0.000973        .0716680000 .0000000325 .0001802775 .0001040832 -4100.000000 -4112.018555 12.018555 0.292279        .1300043333 .0000001120 .0003346640 .0001932183 -4111.915039 -4112.018555 0.103516 0.002517        .1284460000 .0000000130 .0001140175 .0000658280 -4114.652832 -4111.916044 2.736788 0.066557         
19398656       .0699723333 .0000000137 .0001170469 .0000675770 -3462.298584 -3462.357808 0.059224 0.001711        .0734666666 .0000000010 .0000316227 .0000182573 -3456.000000 -3462.557861 6.557861 0.189394        .1332193334 .0000000143 .0001195826 .0000690410 -3462.357910 -3462.557861 0.199951 0.005775        .1317880000 .0000000318 .0001783255 .0001029562 -3465.077637 -3462.357808 2.719829 0.078554         
19922944       .0715050000 .0000000256 .0001600000 .0000923760 -2457.017334 -2456.578738 0.438596 0.017854        .0756106666 .0000009743 .0009870663 .0005698829 -2448.000000 -2456.772217 8.772217 0.357063        .1372790000 .0000006785 .0008237111 .0004755698 -2456.578613 -2456.772217 0.193604 0.007880        .1350986667 .0000000036 .0000600000 .0000346410 -2460.195801 -2456.578738 3.617063 0.147240         
20447232       .0728403333 .0000000244 .0001562049 .0000901849 -3680.707031 -3679.012309 1.694722 0.046065        .0765770000 .0000000333 .0001824828 .0001053564 -3672.000000 -3679.222168 7.222168 0.196296        .1411806667 .0000032843 .0018122637 .0010463109 -3679.012695 -3679.222168 0.209473 0.005693        .1388200000 .0000008421 .0009176600 .0005298112 -3682.910156 -3679.012309 3.897847 0.105948         
20971520       .0750620000 .0000000432 .0002078460 .0001199999 -4117.262207 -4115.540369 1.721838 0.041837        .0780820000 .0000001350 .0003674234 .0002121319 -4112.000000 -4115.754883 3.754883 0.091232        .1427573334 .0000000717 .0002677685 .0001545962 -4115.540527 -4115.754883 0.214355 0.005208        .1416853334 .0000000850 .0002915475 .0001683250 -4119.346680 -4115.540369 3.806310 0.092486         
21495808       .0762520000 .0000000130 .0001140175 .0000658280 -3603.997803 -3602.165986 1.831816 0.050853        .0799040000 .0000000197 .0001403566 .0000810349 -3600.000000 -3602.404297 2.404297 0.066741        .1466573334 .0000019264 .0013879481 .0008013322 -3602.165771 -3602.404297 0.238525 0.006621        .1450293334 .0000000038 .0000616441 .0000355902 -3606.225586 -3602.165986 4.059600 0.112699         
22020096       .0778570000 .0000000136 .0001166190 .0000673300 -2895.598633 -2893.609842 1.988791 0.068730        .0814806666 .0000000320 .0001788854 .0001032795 -2894.000000 -2893.873779 0.126221 0.004362        .1495816666 .0000001819 .0004264973 .0002462383 -2893.610107 -2893.873779 0.263672 0.009111        .1486166667 .0000001082 .0003289376 .0001899122 -2898.272461 -2893.609842 4.662619 0.161135         
22544384       .0795326667 .0000000863 .0002937686 .0001696073 -3707.216797 -3704.718044 2.498753 0.067448        .0835136666 .0000012219 .0011053958 .0006382005 -3702.000000 -3704.988525 2.988525 0.080662        .1524906667 .0000000477 .0002184032 .0001260951 -3704.718994 -3704.988525 0.269531 0.007275        .1517566666 .0000000316 .0001777638 .0001026319 -3709.086426 -3704.718044 4.368382 0.117914         
23068672       .0811690000 .0000000034 .0000583095 .0000336650 -3748.157959 -3746.225147 1.932812 0.051594        .0845356667 .0000000195 .0001396424 .0000806225 -3746.000000 -3746.507812 0.507812 0.013554        .1564873334 .0000004424 .0006651315 .0003840138 -3746.225830 -3746.507812 0.281982 0.007527        .1550316666 .0000000105 .0001024695 .0000591607 -3749.937988 -3746.225147 3.712841 0.099109         
23592960       .0826710000 .0000000034 .0000583095 .0000336650 -4066.882568 -4065.149398 1.733171 0.042635        .0866346667 .0000006367 .0007979348 .0004606878 -4058.000000 -4065.378174 7.378174 0.181488        .1592140000 .0000001052 .0003243454 .0001872609 -4065.150391 -4065.378174 0.227783 0.005603        .1582440000 .0000000032 .0000565685 .0000326598 -4068.604492 -4065.149398 3.455094 0.084993         
24117248       .0842740000 .0000000101 .0001004987 .0000580229 -4186.754883 -4185.463672 1.291210 0.030850        .0877900000 .0000001032 .0003212475 .0001854723 -4176.000000 -4185.786133 9.786133 0.233794        .1624606667 .0000000178 .0001334166 .0000770281 -4185.464844 -4185.786133 0.321289 0.007676        .1614186667 .0000000232 .0001523154 .0000879393 -4188.640137 -4185.463672 3.176464 0.075893         
24641536       .0859116667 .0000000740 .0002720294 .0001570562 -4720.442871 -4719.299117 1.143754 0.024236        .0895136666 .0000000262 .0001618641 .0000934522 -4720.000000 -4719.622559 0.377441 0.007997        .1658603334 .0000000577 .0002402082 .0001386842 -4719.299316 -4719.622559 0.323242 0.006849        .1652020000 .0000000639 .0002527844 .0001459451 -4722.624512 -4719.299117 3.325394 0.070464         
25165824       .0879956667 .0000001821 .0004267317 .0002463736 -4741.020996 -4739.944851 1.076145 0.022704        .0909043333 .0000001354 .0003679673 .0002124460 -4740.000000 -4740.094727 0.094727 0.001998        .1687616666 .0000000586 .0002420743 .0001397616 -4739.945312 -4740.094727 0.149414 0.003152        .1681430000 .0000000104 .0001019803 .0000588783 -4742.423340 -4739.944851 2.478489 0.052289         
25690112       .0892926667 .0000000314 .0001772004 .0001023066 -4257.654785 -4257.107735 0.547050 0.012850        .0928063333 .0000000251 .0001584297 .0000914694 -4252.000000 -4257.331055 5.331055 0.125221        .1726540000 .0000003109 .0005575840 .0003219212 -4257.107910 -4257.331055 0.223145 0.005241        .1715586666 .0000000267 .0001634013 .0000943397 -4259.569824 -4257.107735 2.462089 0.057835         
26214400       .0911020000 .0000000138 .0001174734 .0000678232 -4639.486816 -4638.781057 0.705759 0.015214        .0944000000 .0000000554 .0002353720 .0001358920 -4628.000000 -4639.054688 11.054688 0.238296        .1753910000 .0000002615 .0005113707 .0002952400 -4638.781738 -4639.054688 0.272949 0.005884        .1749983334 .0000000754 .0002745906 .0001585349 -4641.313477 -4638.781057 2.532420 0.054592         
26738688       .0923990000 .0000000245 .0001565247 .0000903695 -2796.184082 -2795.777644 0.406438 0.014538        .0967766667 .0000004536 .0006734983 .0003888444 -2780.000000 -2796.101807 16.101807 0.575866        .1785250000 .0000000499 .0002233830 .0001289702 -2795.778809 -2796.101807 0.322998 0.011552        .1781420000 .0000000034 .0000583095 .0000336650 -2798.461914 -2795.777644 2.684270 0.096012         
27262976       .0946176667 .0000007974 .0008929725 .0005155579 -2351.387451 -2350.557982 0.829469 0.035288        .0983596666 .0000001977 .0004446346 .0002567099 -2336.000000 -2350.890137 14.890137 0.633383        .1814603334 .0000001561 .0003950949 .0002281081 -2350.559326 -2350.890137 0.330811 0.014072        .1814866667 .0000000140 .0001183215 .0000683129 -2354.239258 -2350.557982 3.681276 0.156613         
27787264       .0952680000 .0000000032 .0000565685 .0000326598 -2384.694824 -2384.468166 0.226658 0.009506        .0997026666 .0000001358 .0003685105 .0002127596 -2364.000000 -2384.870117 20.870117 0.875105        .1848916667 .0000001233 .0003511409 .0002027312 -2384.469482 -2384.870117 0.400635 0.016799        .1849343334 .0000000945 .0003074085 .0001774823 -2388.271240 -2384.468166 3.803074 0.159494         
28311552       .0972800000 .0000000104 .0001019803 .0000588783 -1614.661621 -1614.801833 0.140211 0.008683        .1010346667 .0000000041 .0000640312 .0000369684 -1594.000000 -1615.195557 21.195557 1.312259        .1879690000 .0000000813 .0002851315 .0001646207 -1614.803223 -1615.195557 0.392334 0.024290        .1881426666 .0000001082 .0003289376 .0001899122 -1618.316650 -1614.801833 3.514818 0.217662         
28835840       .0988843334 .0000001711 .0004136423 .0002388164 -2236.563965 -2236.232088 0.331877 0.014841        .1025590000 .0000001021 .0003195309 .0001844812 -2218.000000 -2236.603760 18.603760 0.831786        .1912423333 .0000001048 .0003237282 .0001869045 -2236.232422 -2236.603760 0.371338 0.016603        .1914880000 0 0 0 -2240.194092 -2236.232088 3.962004 0.177173         
29360128       .1006963333 .0000004604 .0006785278 .0003917482 -942.216431 -941.997730 0.218701 0.023217        .1041760000 .0000000784 .0002800000 .0001616580 -922.000000 -942.348694 20.348694 2.159359        .1939873334 .0000000220 .0001483239 .0000856348 -941.997314 -942.348694 0.351379 0.037288        .1953493333 .0000007186 .0008477027 .0004894213 -945.473877 -941.997730 3.476147 0.369019         
29884416       .1019223333 .0000000244 .0001562049 .0000901849 -435.205292 -435.426359 0.221068 0.050770        .1059176667 .0000001993 .0004464302 .0002577465 -420.000000 -435.796875 15.796875 3.624825        .1976170000 .0000001307 .0003615245 .0002087262 -435.426025 -435.796875 0.370850 0.085097        .1981440000 .0000001260 .0003549647 .0002049389 -438.829834 -435.426359 3.403475 0.781642         
30408704       .1045503334 .0000017713 .0013309019 .0007683965 -1189.145874 -1189.500904 0.355030 0.029847        .1072473333 .0000000195 .0001396424 .0000806225 -1176.000000 -1189.891602 13.891602 1.167468        .2011446666 .0000003212 .0005667450 .0003272103 -1189.500854 -1189.891602 0.390747 0.032839        .2019350000 .0000011291 .0010625911 .0006134872 -1192.298096 -1189.500904 2.797192 0.235157         
30932992       .1051693334 .0000000302 .0001737814 .0001003327 -1583.762207 -1584.031738 0.269531 0.017015        .1090526666 .0000000297 .0001723368 .0000994986 -1564.000000 -1584.442139 20.442139 1.290179        .2042210000 .0000000195 .0001396424 .0000806225 -1584.031616 -1584.442139 0.410522 0.025910        .2048663334 .0000001015 .0003185906 .0001839383 -1587.128174 -1584.031738 3.096436 0.195478         
31457280       .1071446667 .0000001082 .0003289376 .0001899122 -414.660339 -414.806453 0.146113 0.035224        .1108940000 .0000000838 .0002894822 .0001671326 -394.000000 -415.217194 21.217194 5.109902        .2069366667 .0000001666 .0004081666 .0002356550 -414.806274 -415.217194 0.410919 0.098965        .2083496666 .0000002343 .0004840454 .0002794637 -418.799561 -414.806453 3.993108 0.962644         
31981568       .1085066667 .0000000459 .0002142428 .0001236931 -882.348389 -882.390478 0.042089 0.004770        .1121246667 .0000000334 .0001827566 .0001055145 -864.000000 -882.811951 18.811951 2.130913        .2108723334 .0000006657 .0008159044 .0004710626 -882.390015 -882.811951 0.421936 0.047795        .2119680000 .0000008284 .0009101648 .0005254838 -886.173584 -882.390478 3.783106 0.428734         
32505856       .1102846667 .0000000734 .0002709243 .0001564182 -1201.433716 -1201.491520 0.057804 0.004811        .1144653333 .0000001672 .0004089009 .0002360790 -1184.000000 -1201.927490 17.927490 1.491562        .2140110000 .0000012330 .0011104053 .0006410927 -1201.490234 -1201.927490 0.437256 0.036380        .2146333334 .0000000114 .0001067707 .0000616440 -1204.709717 -1201.491520 3.218197 0.267850         
33030144       .1121950000 .0000008389 .0009159148 .0005288036 -925.091919 -925.637444 0.545525 0.058935        .1155850000 .0000000092 .0000959166 .0000553774 -912.000000 -926.059814 14.059814 1.518240        .2168810000 .0000001021 .0003195309 .0001844812 -925.636230 -926.059814 0.423584 0.045740        .2180756666 .0000000525 .0002291287 .0001322875 -928.870361 -925.637444 3.232917 0.349264         
33554432       .1135950000 .0000000029 .0000538516 .0000310912 -1950.475708 -1951.703693 1.227985 0.062919        .1174750000 .0000000696 .0002638181 .0001523154 -1944.000000 -1952.160278 8.160278 0.418013        .2204256666 .0000000019 .0000435889 .0000251660 -1951.703369 -1952.160278 0.456909 0.023405        .2212873334 .0000000108 .0001039230 .0000599999 -1955.526123 -1951.703693 3.822430 0.195851         
34078720       .1148950000 .0000000309 .0001757839 .0001014888 -2100.256836 -2100.817528 0.560692 0.026689        .1189740000 .0000000125 .0001118033 .0000645496 -2088.000000 -2101.160156 13.160156 0.626328        .2236000000 .0000000162 .0001272792 .0000734846 -2100.816650 -2101.160156 0.343506 0.016348        .2245930000 .0000000631 .0002511971 .0001450287 -2104.470459 -2100.817528 3.652931 0.173881         
