524288       .0109906666 .0000040414 .0020103233 .0011606606 -1228.054077 -1228.051287 0.002790 0.000227        .0114506666 .0000000013 .0000360555 .0000208166 -1228.000000 -1228.071411 0.071411 0.005815        .0122110000 .0000000232 .0001523154 .0000879393 -1228.051270 -1228.071411 0.020142 0.001640        .0509950000 .0000000420 .0002049390 .0001183215 -1227.806152 -1228.051287 0.245135 0.019961         
1048576       .0118100000 .0000000034 .0000583095 .0000336650 -1029.381348 -1029.068143 0.313205 0.030436        .0128863333 .0000001160 .0003405877 .0001966384 -1028.000000 -1029.106934 1.106934 0.107563        .0138750000 .0000000449 .0002118962 .0001223383 -1029.067993 -1029.106934 0.038940 0.003784        .0941750000 .0000004670 .0006833739 .0003945461 -1029.814209 -1029.068143 0.746066 0.072499         
1572864       .0144040000 .0000016817 .0012968037 .0007487099 50.230286 50.042652 0.187633 0.374946        .0145203334 .0000000532 .0002306512 .0001331665 52.500000 50.006809 2.493191 4.985703        .0224543333 .0000004409 .0006640030 .0003833623 50.042809 50.006809 0.035999 0.071989        .1372160000 .0000003247 .0005698245 .0003289883 48.643555 50.042652 1.399098 2.795811         
2097152       .0149513334 .0000000102 .0001009950 .0000583094 577.285339 576.926100 0.359239 0.062268        .0157793334 .0000001549 .0003935733 .0002272296 580.000000 576.897339 3.102661 0.537819        .0260236666 .0000000133 .0001153256 .0000665832 576.926270 576.897339 0.028931 0.005015        .1794050000 .0000000420 .0002049390 .0001183215 575.428223 576.926100 1.497878 0.259631         
2621440       .0185013334 .0000006943 .0008332466 .0004810751 1716.343628 1715.699379 0.644249 0.037550        .0206463334 .0000001900 .0004358898 .0002516610 1716.000000 1715.670044 0.329956 0.019232        .0297823334 .0000012940 .0011375412 .0006567597 1715.699585 1715.670044 0.029541 0.001722        .2228233334 .0000001376 .0003709447 .0002141650 1713.443604 1715.699379 2.255775 0.131478         
3145728       .0207520000 .0000000447 .0002114237 .0001220655 1794.553101 1794.211291 0.341809 0.019051        .0227233333 .0000000473 .0002174856 .0001255653 1796.000000 1794.197510 1.802490 0.100462        .0333023333 .0000003005 .0005481788 .0003164911 1794.211426 1794.197510 0.013916 0.000776        .2653523333 .0000000244 .0001562049 .0000901849 1792.408569 1794.211291 1.802722 0.100474         
3670016       .0225266666 .0000000108 .0001039230 .0000599999 1932.636597 1932.399055 0.237541 0.012293        .0247710000 .0000000368 .0001918332 .0001107549 1934.000000 1932.392822 1.607178 0.083170        .0359050000 .0000001011 .0003179622 .0001835755 1932.399292 1932.392822 0.006470 0.000335        .3081896666 .0000000244 .0001562049 .0000901849 1930.562012 1932.399055 1.837044 0.095065         
4194304       .0238953333 .0000000039 .0000624499 .0000360554 987.452637 987.422122 0.030515 0.003090        .0261676666 .0000000350 .0001870828 .0001080123 991.000000 987.405273 3.594727 0.364058        .0394686666 .0000000116 .0001077032 .0000621824 987.422363 987.405273 0.017090 0.001731        .3517100000 .0000012199 .0011044908 .0006376780 985.728394 987.422122 1.693729 0.171530         
4718592       .0254636666 .0000000035 .0000591607 .0000341564 511.358765 511.429606 0.070841 0.013852        .0280126666 .0000000045 .0000670820 .0000387298 516.000000 511.426636 4.573364 0.894237        .0438913333 .0000020960 .0014477568 .0008358627 511.429932 511.426636 0.003296 0.000644        .3943073333 .0000000556 .0002357965 .0001361371 510.012695 511.429606 1.416911 0.277049         
5242880       .0272383333 .0000000314 .0001772004 .0001023066 1236.935059 1237.020073 0.085014 0.006873        .0301910000 .0000000635 .0002519920 .0001454876 1242.000000 1236.997070 5.002930 0.404442        .0465286666 .0000006042 .0007773030 .0004487760 1237.020264 1236.997070 0.023193 0.001875        .4312060000 0 0 0 1235.645752 1237.020073 1.374321 0.111099         
5767168       .0285696666 .0000000945 .0003074085 .0001774823 -862.955627 -864.165596 1.209968 0.140016        .0319073334 .0000001615 .0004018706 .0002320200 -861.000000 -864.204529 3.204529 0.370807        .0487560000 .0000000490 .0002213594 .0001278019 -864.165527 -864.204529 0.039001 0.004513        .4346540000 .0000000034 .0000583095 .0000336650 -864.869385 -864.165596 0.703789 0.081441         
6291456       .0299350000 .0000000034 .0000583095 .0000336650 -1035.005981 -1036.420194 1.414212 0.136452        .0322466666 .0000000744 .0002727636 .0001574801 -1032.000000 -1036.456787 4.456787 0.430002        .0533046667 .0000032511 .0018030806 .0010410090 -1036.420166 -1036.456787 0.036621 0.003533        .4735710000 .0000000229 .0001513274 .0000873689 -1037.256104 -1036.420194 0.835910 0.080654         
