524288       .0122536666 .0000007735 .0008794884 .0005077728 261825.750000 261822.168635 3.581365 0.001368        .0381940000 .0000041658 .0020410291 .0011783887 inf 261822.168635 inf inf        .0096253333 .0000000734 .0002709243 .0001564182 261822.843750 261822.168635 0.675115 0.000258        .0109580000 0 0 0 261822.031250 261822.168635 0.137385 0.000052        .0102046667 .0000001697 .0004119465 .0002378374 261822.375000 261822.168635 0.206365 0.000079         
1048576       .0150196666 .0000000036 .0000600000 .0000346410 523745.750000 523742.119766 3.630234 0.000693        0 0 0 0 0 0 0 0        .0105813334 .0000000035 .0000591607 .0000341564 523742.687500 523742.119766 0.567734 0.000108        .0134486666 .0000000140 .0001183215 .0000683129 523743.187500 523742.119766 1.067734 0.000204        .0120140000 .0000001720 .0004147288 .0002394437 523743.593750 523742.119766 1.473984 0.000281         
1572864       .0189086666 .0000000243 .0001558845 .0000899999 785859.750000 785858.305552 1.444448 0.000184        0 0 0 0 0 0 0 0        .0120833334 .0000000105 .0001024695 .0000591607 785858.687500 785858.305552 0.381948 0.000049        .0157683333 .0000000105 .0001024695 .0000591607 785856.937500 785858.305552 1.368052 0.000174        .0137556666 .0000001082 .0003289376 .0001899122 785857.812500 785858.305552 0.493052 0.000063         
2097152       .0223573334 .0000000035 .0000591607 .0000341564 1048314.250000 1048311.956171 2.293829 0.000219        0 0 0 0 0 0 0 0        .0134806667 .0000008412 .0009171695 .0005295280 1048312.312500 1048311.956171 0.356329 0.000034        .0180223333 .0000000105 .0001024695 .0000591607 1048311.500000 1048311.956171 0.456171 0.000044        .0151213334 .0000000140 .0001183215 .0000683129 1048310.375000 1048311.956171 1.581171 0.000151         
2621440       .0287766667 .0000000102 .0001009950 .0000583094 1310469.000000 1310468.802988 0.197012 0.000015        0 0 0 0 0 0 0 0        .0181590000 .0000000034 .0000583095 .0000336650 1310468.500000 1310468.802988 0.302988 0.000023        .0237213334 .0000000136 .0001166190 .0000673300 1310464.500000 1310468.802988 4.302988 0.000328        .0190453334 .0000034750 .0018641351 .0010762589 1310468.375000 1310468.802988 0.427988 0.000033         
3145728       .0328010000 .0000000249 .0001577973 .0000911043 1572735.750000 1572734.690346 1.059654 0.000067        0 0 0 0 0 0 0 0        .0201726666 .0000000734 .0002709243 .0001564182 1572733.250000 1572734.690346 1.440346 0.000092        .0266583333 .0000001084 .0003292415 .0001900876 1572736.375000 1572734.690346 1.684654 0.000107        .0206163334 .0000000035 .0000591607 .0000341564 1572734.750000 1572734.690346 0.059654 0.000004         
3670016       .0365566666 .0000000314 .0001772004 .0001023066 1835160.750000 1835161.365238 0.615238 0.000034        0 0 0 0 0 0 0 0        .0220163334 .0000001363 .0003691882 .0002131509 1835160.875000 1835161.365238 0.490238 0.000027        .0291146666 .0000000248 .0001574801 .0000909211 1835165.000000 1835161.365238 3.634762 0.000198        .0226633334 .0000000033 .0000574456 .0000331662 1835159.375000 1835161.365238 1.990238 0.000108         
4194304       .0407903334 .0000000249 .0001577973 .0000911043 2097275.250000 2097276.504717 1.254717 0.000060        0 0 0 0 0 0 0 0        .0236876667 .0000001071 .0003272613 .0001889443 2097275.750000 2097276.504717 0.754717 0.000036        .0320853334 .0000000977 .0003125699 .0001804623 2097278.000000 2097276.504717 1.495283 0.000071        .0241666666 .0000000734 .0002709243 .0001564182 2097273.250000 2097276.504717 3.254717 0.000155         
4718592       .0451243334 .0000002338 .0004835286 .0002791653 2359579.500000 2359585.905372 6.405372 0.000271        0 0 0 0 0 0 0 0        .0253610000 .0000000663 .0002574878 .0001486606 2359585.750000 2359585.905372 0.155372 0.000007        .0349183333 .0000000734 .0002709243 .0001564182 2359584.000000 2359585.905372 1.905372 0.000081        .0253960000 0 0 0 2359586.250000 2359585.905372 0.344628 0.000015         
5242880       .0496296667 .0000013980 .0011823705 .0006826419 2621688.000000 2621693.916483 5.916483 0.000226        0 0 0 0 0 0 0 0        .0276150000 .0000011969 .0010940292 .0006316380 2621691.500000 2621693.916483 2.416483 0.000092        .0372736666 .0000000105 .0001024695 .0000591607 2621701.500000 2621693.916483 7.583517 0.000289        .0272043333 .0000000453 .0002128379 .0001228820 2621691.250000 2621693.916483 2.666483 0.000102         
5767168       .0534190000 .0000000663 .0002574878 .0001486606 2883873.500000 2883883.642889 10.142889 0.000352        0 0 0 0 0 0 0 0        .0285696666 .0000000105 .0001024695 .0000591607 2883882.750000 2883883.642889 0.892889 0.000031        .0403806666 .0000000988 .0003143246 .0001814753 2883881.500000 2883883.642889 2.142889 0.000074        .0286380000 .0000000454 .0002130727 .0001230175 2883877.500000 2883883.642889 6.142889 0.000213         
6291456       .0570356666 .0000000725 .0002692582 .0001554562 3146090.500000 3146104.379481 13.879481 0.000441        0 0 0 0 0 0 0 0        .0303796667 .0000001494 .0003865229 .0002231591 3146102.250000 3146104.379481 2.129481 0.000068        .0430760000 .0000000034 .0000583095 .0000336650 3146097.000000 3146104.379481 7.379481 0.000235        .0305496666 .0000000140 .0001183215 .0000683129 3146099.500000 3146104.379481 4.879481 0.000155         
6815744       .0609963333 .0000000244 .0001562049 .0000901849 3408434.500000 3408445.423633 10.923633 0.000320        0 0 0 0 0 0 0 0        .0320843333 .0000000239 .0001545962 .0000892561 3408439.000000 3408445.423633 6.423633 0.000188        .0457033334 .0000000239 .0001545962 .0000892561 3408446.750000 3408445.423633 1.326367 0.000039        .0323233334 .0000000142 .0001191637 .0000687991 3408441.500000 3408445.423633 3.923633 0.000115         
7340032       .0659113334 .0000024562 .0015672268 .0009048388 3670289.500000 3670301.815337 12.315337 0.000336        0 0 0 0 0 0 0 0        .0335186667 .0000000560 .0002366431 .0001366259 3670293.250000 3670301.815337 8.565337 0.000233        .0484353334 .0000000105 .0001024695 .0000591607 3670306.250000 3670301.815337 4.434663 0.000121        .0337580000 .0000000454 .0002130727 .0001230175 3670302.750000 3670301.815337 0.934663 0.000025         
7864320       .0692566666 .0000000980 .0003130495 .0001807392 3932470.500000 3932480.343587 9.843587 0.000250        0 0 0 0 0 0 0 0        .0358060000 .0000011990 .0010949885 .0006321919 3932472.750000 3932480.343587 7.593587 0.000193        .0517803334 .0000003181 .0005640035 .0003256275 3932477.250000 3932480.343587 3.093587 0.000079        .0350206666 .0000000105 .0001024695 .0000591607 3932477.000000 3932480.343587 3.343587 0.000085         
8388608       .0742400000 .0000007864 .0008867919 .0005119895 4194498.000000 4194507.163758 9.163758 0.000218        0 0 0 0 0 0 0 0        .0365566667 .0000000412 .0002029778 .0001171892 4194499.000000 4194507.163758 8.163758 0.000195        .0541013334 .0000000035 .0000591607 .0000341564 4194506.000000 4194507.163758 1.163758 0.000028        .0366253334 .0000000140 .0001183215 .0000683129 4194505.000000 4194507.163758 2.163758 0.000052         
8912896       .0773463334 .0000000244 .0001562049 .0000901849 4457007.000000 4457014.055340 7.055340 0.000158        0 0 0 0 0 0 0 0        .0383670000 .0000000136 .0001166190 .0000673300 4457004.500000 4457014.055340 9.555340 0.000214        .0566613334 .0000000035 .0000591607 .0000341564 4457014.000000 4457014.055340 0.055340 0.000001        .0385706666 .0000000244 .0001562049 .0000901849 4457011.000000 4457014.055340 3.055340 0.000069         
9437184       .0812010000 .0000000309 .0001757839 .0001014888 4719331.500000 4719333.249203 1.749203 0.000037        0 0 0 0 0 0 0 0        .0403443333 .0000000924 .0003039736 .0001754992 4719320.000000 4719333.249203 13.249203 0.000281        .0595970000 .0000000942 .0003069201 .0001772004 4719339.500000 4719333.249203 6.250797 0.000132        .0402763333 .0000000239 .0001545962 .0000892561 4719326.000000 4719333.249203 7.249203 0.000154         
