8192       .0134546667 .0000000014 .0000374165 .0000216024 4100.000000 4099.819503 0.180497 0.004403        .0144113333 .0000000179 .0001337908 .0000772441 4100.000000 4099.819503 0.180497 0.004403        .0137686666 .0000000048 .0000692820 .0000399999 4100.000000 4099.819503 0.180497 0.004403        .0152336667 .0000000009 .0000300000 .0000173205 4100.000000 4099.819503 0.180497 0.004403         
16384       .0133846667 .0000000041 .0000640312 .0000369684 8208.000000 8212.979222 4.979222 0.060626        .0146803333 .0000000213 .0001459451 .0000842614 8208.000000 8212.979222 4.979222 0.060626        .0139246666 .0000000110 .0001048808 .0000605529 8208.000000 8212.979222 4.979222 0.060626        .0153196667 .0000000276 .0001661324 .0000959165 8208.000000 8212.979222 4.979222 0.060626         
24576       .0134683334 .0000000697 .0002640075 .0001524248 12288.000000 12291.206006 3.206006 0.026084        .0145673334 .0000000005 .0000223606 .0000129098 12288.000000 12291.206006 3.206006 0.026084        .0138983333 .0000000264 .0001624807 .0000938082 12288.000000 12291.206006 3.206006 0.026084        .0153710000 .0000001025 .0003201562 .0001848422 12288.000000 12291.206006 3.206006 0.026084         
32768       .0133983333 .0000000013 .0000360555 .0000208166 16368.000000 16373.927843 5.927843 0.036203        .0144736667 .0000000291 .0001705872 .0000984885 16368.000000 16373.927843 5.927843 0.036203        .0139596666 .0000000185 .0001360147 .0000785281 16368.000000 16373.927843 5.927843 0.036203        .0152773334 .0000000207 .0001438749 .0000830662 16368.000000 16373.927843 5.927843 0.036203         
40960       .0157253333 .0000162169 .0040270212 .0023250017 20448.000000 20446.683262 1.316738 0.006440        .0145936666 .0000000305 .0001746424 .0001008298 20448.000000 20446.683262 1.316738 0.006440        .0140080000 .0000000293 .0001711724 .0000988264 20448.000000 20446.683262 1.316738 0.006440        .0154406667 .0000000470 .0002167948 .0001251665 20448.000000 20446.683262 1.316738 0.006440         
49152       .0136480000 .0000000314 .0001772004 .0001023066 24576.000000 24574.425763 1.574237 0.006406        .0144326667 .0000000184 .0001356465 .0000783155 24576.000000 24574.425763 1.574237 0.006406        .0143170000 .0000000346 .0001860107 .0001073933 24576.000000 24574.425763 1.574237 0.006406        .0155803333 .0000000021 .0000458257 .0000264574 24576.000000 24574.425763 1.574237 0.006406         
57344       .0135540000 .0000000135 .0001161895 .0000670820 28672.000000 28670.288750 1.711250 0.005969        .0152930000 .0000021592 .0014694216 .0008483709 28672.000000 28670.288750 1.711250 0.005969        .0140323333 .0000000088 .0000938083 .0000541602 28672.000000 28670.288750 1.711250 0.005969        .0156613334 .0000000618 .0002485960 .0001435269 28672.000000 28670.288750 1.711250 0.005969         
65536       .0173996667 .0000000682 .0002611512 .0001507757 32800.000000 32783.360543 16.639457 0.050756        .0187086666 .0000000005 .0000223606 .0000129098 32800.000000 32783.360543 16.639457 0.050756        .0190526667 .0000000259 .0001609347 .0000929156 32800.000000 32783.360543 16.639457 0.050756        .0212946666 .0000000195 .0001396424 .0000806225 32800.000000 32783.360543 16.639457 0.050756         
73728       .0174266667 .0000000138 .0001174734 .0000678232 32800.000000 36872.977114 4072.977114 11.045968        .0189910000 .0000000143 .0001195826 .0000690410 36896.000000 36872.977114 23.022886 0.062438        .0195096667 .0000003752 .0006125357 .0003536476 36896.000000 36872.977114 23.022886 0.062438        .0214796666 .0000000497 .0002229349 .0001287115 36896.000000 36872.977114 23.022886 0.062438         
81920       .0174266667 .0000000146 .0001208304 .0000697614 32800.000000 40970.922426 8170.922426 19.943223        .0189803333 .0000000033 .0000574456 .0000331662 40992.000000 40970.922426 21.077574 0.051445        .0192840000 .0000000066 .0000812403 .0000469041 40992.000000 40970.922426 21.077574 0.051445        .0214340000 .0000000085 .0000921954 .0000532290 40992.000000 40970.922426 21.077574 0.051445         
90112       .0177626667 .0000000177 .0001330413 .0000768114 32800.000000 45068.176933 12268.176933 27.221374        .0191900000 .0000000449 .0002118962 .0001223383 45088.000000 45068.176933 19.823067 0.043985        .0192893333 .0000000086 .0000927361 .0000535412 45088.000000 45068.176933 19.823067 0.043985        .0212810000 .0000000036 .0000600000 .0000346410 45088.000000 45068.176933 19.823067 0.043985         
98304       .0177383333 .0000000345 .0001857417 .0001072380 32800.000000 49171.474661 16371.474661 33.294659        .0191116667 .0000000003 .0000173205 .0000099999 49216.000000 49171.474661 44.525339 0.090551        .0193593333 .0000000297 .0001723368 .0000994986 49216.000000 49171.474661 44.525339 0.090551        .0216006666 .0000000052 .0000721110 .0000416333 49216.000000 49171.474661 44.525339 0.090551         
106496       .0177356667 .0000000114 .0001067707 .0000616440 32800.000000 53290.098079 20490.098079 38.450104        .0190313333 .0000000130 .0001140175 .0000658280 53312.000000 53290.098079 21.901921 0.041099        .0193460000 .0000000104 .0001019803 .0000588783 53312.000000 53290.098079 21.901921 0.041099        .0215176667 .0000000289 .0001700000 .0000981495 53312.000000 53290.098079 21.901921 0.041099         
114688       .0177086666 .0000000005 .0000223606 .0000129098 32800.000000 57391.184132 24591.184132 42.848365        .0190956667 .0000000003 .0000173205 .0000099999 57408.000000 57391.184132 16.815868 0.029300        .0194230000 .0000000082 .0000905538 .0000522812 57408.000000 57391.184132 16.815868 0.029300        .0219580000 .0000007723 .0008788060 .0005073788 57408.000000 57391.184132 16.815868 0.029300         
122880       .0177386666 .0000000023 .0000479583 .0000276887 32800.000000 61499.951833 28699.951833 46.666625        .0192650000 .0000001944 .0004409081 .0002545584 61504.000000 61499.951833 4.048167 0.006582        .0196440000 .0000000250 .0001581138 .0000912870 61504.000000 61499.951833 4.048167 0.006582        .0214263334 .0000000019 .0000435889 .0000251660 61504.000000 61499.951833 4.048167 0.006582         
131072       .0177520000 .0000000292 .0001708800 .0000986576 inf 65548.107083 inf inf        .0197166666 .0000009259 .0009622369 .0005555477 inf 65548.107083 inf inf        .0193946667 .0000000273 .0001652271 .0000953939 inf 65548.107083 inf inf        .0213213334 .0000000008 .0000282842 .0000163298 inf 65548.107083 inf inf         
139264       .0178540000 .0000000227 .0001506651 .0000869865 inf 69619.114245 inf inf        .0215070000 .0000159499 .0039937325 .0023057825 inf 69619.114245 inf inf        .0201143334 .0000015011 .0012251938 .0007073659 inf 69619.114245 inf inf        .0215983334 .0000001083 .0003290896 .0001899999 inf 69619.114245 inf inf         
147456       .0178086667 .0000000002 .0000141421 .0000081649 inf 73686.471684 inf inf        .0192060000 .0000000258 .0001606237 .0000927361 inf 73686.471684 inf inf        .0199536666 .0000000903 .0003004995 .0001734934 inf 73686.471684 inf inf        .0215203334 .0000000291 .0001705872 .0000984885 inf 73686.471684 inf inf         
155648       .0180666667 .0000000308 .0001754992 .0001013245 inf 77816.505684 inf inf        .0192760000 .0000000013 .0000360555 .0000208166 inf 77816.505684 inf inf        .0196923334 .0000000052 .0000721110 .0000416333 inf 77816.505684 inf inf        .0217886666 .0000001749 .0004182104 .0002414538 inf 77816.505684 inf inf         
163840       .0183243334 .0000000680 .0002607680 .0001505544 inf 81925.910556 inf inf        .0192786666 .0000000147 .0001212435 .0000699999 inf 81925.910556 inf inf        .0196550000 .0000000098 .0000989949 .0000571547 inf 81925.910556 inf inf        .0216626667 .0000000509 .0002256102 .0001302561 inf 81925.910556 inf inf         
172032       .0192630000 .0000000023 .0000479583 .0000276887 inf 86010.691676 inf inf        .0200923333 .0000000031 .0000556776 .0000321454 inf 86010.691676 inf inf        .0195880000 .0000000101 .0001004987 .0000580229 inf 86010.691676 inf inf        .0217566666 .0000000115 .0001072380 .0000619138 inf 86010.691676 inf inf         
180224       .0193136667 .0000000007 .0000264575 .0000152752 inf 90086.862427 inf inf        .0204370000 .0000001964 .0004431703 .0002558644 inf 90086.862427 inf inf        .0199613333 .0000000480 .0002190890 .0001264910 inf 90086.862427 inf inf        .0216710000 .0000000205 .0001431782 .0000826639 inf 90086.862427 inf inf         
188416       .0197110000 .0000000320 .0001788854 .0001032795 inf 94190.779405 inf inf        .0202380000 .0000000102 .0001009950 .0000583094 inf 94190.779405 inf inf        .0200903333 .0000000479 .0002188606 .0001263592 inf 94190.779405 inf inf        .0217403333 .0000001355 .0003681032 .0002125244 inf 94190.779405 inf inf         
196608       .0193300000 .0000000031 .0000556776 .0000321454 inf 98285.463643 inf inf        .0202193333 .0000000102 .0001009950 .0000583094 inf 98285.463643 inf inf        .0196496666 .0000000129 .0001135781 .0000655743 inf 98285.463643 inf inf        .0216730000 0 0 0 inf 98285.463643 inf inf         
204800       .0196930000 .0000000583 .0002414539 .0001394034 inf 102401.738340 inf inf        .0202170000 .0000000019 .0000435889 .0000251660 inf 102401.738340 inf inf        .0195963333 .0000000019 .0000435889 .0000251660 inf 102401.738340 inf inf        .0222540000 .0000008748 .0009353074 .0005399999 inf 102401.738340 inf inf         
212992       .0196760000 .0000000273 .0001652271 .0000953939 inf 106462.303745 inf inf        .0204873334 .0000000511 .0002260530 .0001305117 inf 106462.303745 inf inf        .0197570000 .0000000127 .0001126942 .0000650640 inf 106462.303745 inf inf        .0218073333 .0000000452 .0002126029 .0001227463 inf 106462.303745 inf inf         
221184       .0197760000 .0000000091 .0000953939 .0000550756 inf 110517.971945 inf inf        .0203053334 .0000000136 .0001166190 .0000673300 inf 110517.971945 inf inf        .0199556666 .0000000570 .0002387467 .0001378404 inf 110517.971945 inf inf        .0217273334 .0000000130 .0001140175 .0000658280 inf 110517.971945 inf inf         
229376       .0199450000 .0000000378 .0001944222 .0001122497 inf 114614.495320 inf inf        .0203483334 .0000000291 .0001705872 .0000984885 inf 114614.495320 inf inf        .0200663334 .0000000348 .0001865475 .0001077032 inf 114614.495320 inf inf        .0220870000 .0000000182 .0001349073 .0000778887 inf 114614.495320 inf inf         
